S,objective,seeds,solutions,observations,js_distance_mean,js_distance_median,js_distance_p25,js_distance_p75,js_distance_p90,js_distance_max,wasserstein_normalized_mean,wasserstein_normalized_median,wasserstein_normalized_p25,wasserstein_normalized_p75,wasserstein_normalized_p90,wasserstein_normalized_max,ks_statistic_mean,ks_statistic_median,ks_statistic_p25,ks_statistic_p75,ks_statistic_p90,ks_statistic_max,ks_pvalue_mean,ks_pvalue_median,ks_pvalue_p25,ks_pvalue_p75,ks_pvalue_p90,ks_pvalue_max,mean_signed_error_pct_mean,mean_signed_error_pct_median,mean_signed_error_pct_p25,mean_signed_error_pct_p75,mean_signed_error_pct_p90,mean_signed_error_pct_max,mean_absolute_error_pct_mean,mean_absolute_error_pct_median,mean_absolute_error_pct_p25,mean_absolute_error_pct_p75,mean_absolute_error_pct_p90,mean_absolute_error_pct_max,kl_sample_to_oos_mean,kl_sample_to_oos_median,kl_sample_to_oos_p25,kl_sample_to_oos_p75,kl_sample_to_oos_p90,kl_sample_to_oos_max,kl_oos_to_sample_mean,kl_oos_to_sample_median,kl_oos_to_sample_p25,kl_oos_to_sample_p75,kl_oos_to_sample_p90,kl_oos_to_sample_max,symmetric_kl_mean,symmetric_kl_median,symmetric_kl_p25,symmetric_kl_p75,symmetric_kl_p90,symmetric_kl_max,absolute_coverage_gap_pp_mean,absolute_coverage_gap_pp_median,absolute_coverage_gap_pp_p25,absolute_coverage_gap_pp_p75,absolute_coverage_gap_pp_p90,absolute_coverage_gap_pp_max,coverage_mean,coverage_median,coverage_p25,coverage_p75,coverage_p90,coverage_max,ks_pvalue_gt_0_05_fraction
30,cost,10,263,2630,0.2331829131271803,0.2338261671033096,0.20924137286387762,0.2579121763699589,0.2749745763943846,0.32765865680068185,0.19461723038457185,0.18434211204849957,0.14969634727843495,0.218840199054393,0.3036808768897627,0.3670160987408896,0.15989495564005068,0.1561333333333333,0.13093333333333335,0.18793333333333334,0.21341333333333334,0.2754666666666667,0.4486004487027216,0.4288775829349487,0.21780529177719155,0.6552211759251837,0.842888456979786,0.9987880306076065,0.06762228489794728,0.07626778379966129,-0.2678485178067116,0.35190241963164137,0.6058093869271074,1.0180895798106224,0.34205617560740187,0.30028955379008293,0.14815902437501888,0.4821804313168687,0.7345121175985229,1.0180895798106224,0.296960535867748,0.2964029212270957,0.23623967374464985,0.3500213983666226,0.39430134874246436,0.5102338885482003,0.21735151142365786,0.20912396615032147,0.1642406193688234,0.2595627757984342,0.3118654212558753,0.5619777553585308,0.25715602364570295,0.2540741279513975,0.20222243060274991,0.30710509736602615,0.35209817563431695,0.5251853975847892,5.246114068441065,4.7800000000000065,2.3399999999999976,7.319999999999993,10.762,17.459999999999997,0.8817008365019011,0.8931,0.829,0.93515,0.9564,0.9786,0.9798479087452472
30,emission,10,263,2630,0.2183948056730519,0.21760214990442722,0.19864252340864513,0.2359211708497977,0.2557524572715054,0.3291091675102578,0.19942750504865017,0.19909986212667302,0.16970316036899014,0.22863722646753032,0.2678036503898964,0.34148856597346333,0.16641475285171103,0.1641,0.13853333333333337,0.19741666666666666,0.22067333333333333,0.27380000000000004,0.40398158712301663,0.3668705674665008,0.17328920732267403,0.5837581347844271,0.7907727863166082,0.9997985627971934,-0.0026659939959163153,-0.0043601462317590135,-0.02072985826082972,0.013592404171890757,0.02134779264274784,0.03754089220831153,0.016877616217686665,0.01836354999045855,0.010753629577696544,0.02224758640008996,0.025515398936102406,0.03754089220831153,0.23864239630832693,0.23027693248585027,0.19045794458805615,0.28468266720080215,0.3230593856249177,0.4893397028117016,0.19476736997317523,0.18719155996620784,0.15364570354150997,0.22404076505925583,0.27195577699819196,0.4767992621573958,0.21670488314075106,0.21153509199975698,0.1745704123527071,0.2517524507704254,0.2935384725705829,0.47694544637986935,3.4058174904942975,2.200000000000002,0.759999999999994,5.780000000000007,8.600000000000009,13.080000000000002,0.8718910266159696,0.8834,0.8422,0.9012,0.9124,0.949,0.9768060836501901
30,makespan,10,263,2630,0.2223383217168003,0.219508676028834,0.2035992125883426,0.24105313035912093,0.2586018081034388,0.3275176068567094,0.14836461593571348,0.1466396385628379,0.12033322268250102,0.169389750080046,0.2034053410287004,0.2942330895935356,0.13514973384030418,0.13080000000000003,0.10986666666666667,0.15460000000000004,0.1864,0.2664666666666667,0.6243506998555916,0.6564808332631091,0.4414667974823909,0.8433083609138345,0.9393202649746282,0.9997707348618882,0.13767182622258803,0.1947951001234326,-0.5279460783596165,0.8542588264908705,1.4598174293731545,2.719851898828419,0.8507662415710254,0.7466766545634506,0.31472152321727187,1.2859665682710228,1.7750151671185028,2.9194335449886903,0.28717988509250997,0.28237548128961487,0.2409215974297979,0.3289160376860133,0.3661232883035545,0.521639060118474,0.1927099598453787,0.18072144111667696,0.15082281410802617,0.2250667562169818,0.268353696248942,0.4861485888494614,0.23994492246894433,0.2315756419042614,0.19822709730876978,0.2753767201570386,0.3185368261324908,0.4980936321703173,3.947977186311787,3.2600000000000016,1.4800000000000035,5.299999999999994,8.440000000000003,21.36,0.8801375665399238,0.8886,0.8484,0.9178,0.9362,0.9578,0.9984790874524715
100,cost,10,263,2630,0.13805543074005222,0.13617478371612657,0.12285216819562281,0.1532516167871389,0.16657658280187668,0.20668748228949038,0.10169576446574148,0.0888275019115646,0.07773333474891007,0.1312018021828287,0.15827698272722007,0.1864451791079233,0.09335361216730038,0.08679999999999999,0.06985000000000001,0.11034999999999998,0.14423999999999998,0.18480000000000002,0.4471959784657719,0.4342415407237916,0.17224985571901208,0.7099424191229928,0.8538236906339244,0.9927500983927304,0.03342928972101405,0.006315627721878164,-0.10667011087564945,0.1799389866113872,0.35858570096078907,0.5484508291628967,0.17630081163368305,0.13407564417205609,0.07191487904494079,0.28397010794773875,0.3815002223752427,0.5484508291628967,0.09225078552729316,0.08881229172559824,0.07187955766819316,0.11111698234604475,0.1286983246835757,0.18365891782714164,0.0761190382999913,0.07107699225588515,0.056671300033904595,0.0916099671869278,0.1128146236596368,0.261403246828708,0.08418491191364223,0.0802940979659224,0.06486207342144232,0.10191848208345228,0.11989709877627304,0.2105837737119029,2.305939163498099,2.0000000000000018,1.0800000000000032,3.3200000000000007,4.4399999999999995,11.020000000000007,0.8968443346007605,0.8996,0.87825,0.9184,0.9322,0.9482,0.8726235741444867
100,emission,10,263,2630,0.13168366173897622,0.1311801964300413,0.11561287497524518,0.14634389888809346,0.16130033931767462,0.20969539587709593,0.09724851316830396,0.09729156530472374,0.08464659073219555,0.11011694166737568,0.11810971154110708,0.160802710139142,0.08082494296577945,0.07899999999999996,0.06640000000000001,0.0942,0.1054,0.14140000000000003,0.5484098913432764,0.556270326592972,0.3335768824731161,0.7665673046384878,0.874794089981273,0.9955660064630418,-0.0015702404519541027,-0.0021812037507836692,-0.005204569756545548,0.0029390803752587175,0.006942376108818458,0.010889628738700186,0.005256308856958001,0.004568974183919898,0.0024688021300335655,0.007824397041930125,0.010354518059746598,0.016683817917358863,0.07832611248329976,0.07552803765850837,0.05821807615384664,0.09558791787508887,0.11408969717329823,0.18852737652631502,0.07174741189430461,0.06834784332467068,0.052899762805525934,0.08661875730802947,0.10682211107516282,0.1965057751096187,0.07503676218880219,0.07235885541903868,0.056023567907548304,0.09076613885098073,0.11015608690061084,0.19185192387949557,2.1083193916349816,1.8000000000000016,0.7600000000000051,3.179999999999994,4.359999999999998,7.420000000000004,0.8886512547528517,0.8902,0.8712,0.90455,0.9204,0.9494,0.9988593155893536
100,makespan,10,263,2630,0.13296269879138983,0.13325402776166073,0.11928670856849945,0.14490924399302216,0.1583271049271966,0.18844464731706714,0.08643425577500745,0.08175156481466288,0.06792693280007217,0.10322184451925583,0.12177197683877673,0.18831717254570005,0.07818813688212928,0.07539999999999997,0.063,0.093,0.10481999999999998,0.1448,0.587962615037801,0.6163079874261286,0.34876826147867235,0.8192177140623556,0.9210055295657218,0.9982685393762254,0.1595668624245382,0.03387212565793818,-0.32202948563707623,0.7266249511412606,1.0780735144563274,1.8475682028448657,0.5493540889526493,0.48862144132627205,0.21465650467532196,0.8552902031611338,1.0842889131064997,1.8475682028448657,0.08922752693479553,0.08829898200484892,0.07234826693294236,0.10174316880636614,0.12109114643278565,0.18093491759830369,0.06961955665585999,0.06791028787612441,0.05277964775399178,0.08227945547665662,0.09955549900456394,0.14651462653122166,0.07942354179532776,0.07855396122501884,0.06329912351362675,0.09143337298547213,0.10991839304268133,0.15432740796961697,1.6185095057034222,1.2400000000000078,0.5599999999999938,2.1749999999999963,3.8999999999999924,6.500000000000005,0.894627072243346,0.8984,0.88325,0.9096,0.918,0.948,0.9973384030418251
300,cost,10,263,2630,0.08425789958154617,0.08406717919750578,0.0761604275110835,0.09236139140073835,0.09994809526811063,0.13233159760082747,0.0626508909919581,0.06102419726920841,0.051156220033358894,0.0728060308571054,0.0812168029134605,0.11999706319841824,0.0520979721166033,0.04996666666666669,0.040150000000000005,0.06393333333333337,0.07286666666666664,0.09806666666666669,0.4781700840108375,0.4700104013685665,0.19083934174013828,0.7433537987367402,0.8954996326786294,0.9992336318816112,0.00857906425716432,0.03910525367651124,-0.09915359713123748,0.1307924532300938,0.16100370286091564,0.2223661485108793,0.12033948662705951,0.12374856632441589,0.07460367199684372,0.1556490264024265,0.19358020829591557,0.33490328877611797,0.03246468281825966,0.03079704256586513,0.024812712388330306,0.03885409462578919,0.04675421199094843,0.08185981324027349,0.028453271869770848,0.027507945597604028,0.022499914625322373,0.03330130115325461,0.03970394734625574,0.07652000429960905,0.030458977344015252,0.029399070990937116,0.023913305283176298,0.036089647525379076,0.0425908035732632,0.07803426795017378,1.5198022813688215,1.1800000000000033,0.5800000000000027,2.2800000000000042,3.400000000000003,5.840000000000001,0.8976629657794677,0.8978,0.8858,0.91015,0.924,0.9442,0.967680608365019
300,emission,10,263,2630,0.08354877506978635,0.08428201673887782,0.07519815216511179,0.09285898973383562,0.09936872898603155,0.12307997630879408,0.06141825543368677,0.062480892206621286,0.05601869004320502,0.06947493756510426,0.08288562364833506,0.09656288429243927,0.05268887198986058,0.05166666666666672,0.041933333333333336,0.06386666666666663,0.07313333333333327,0.09873333333333334,0.4599617204678761,0.4270909432280206,0.1917734056829249,0.6932604842460711,0.9425613987947995,0.9999378001508115,-0.0005815484664682418,-0.0010751614375887042,-0.0035217532283127718,0.003062443392094204,0.004772555025972097,0.006414999892823987,0.0035376794025049436,0.0032807083322663713,0.001739980958509035,0.004543938949214817,0.006505160794002494,0.009799512916946612,0.029820621998428984,0.02943399243801402,0.023166573263541858,0.03636689241649174,0.041730297392613275,0.0626928269139917,0.028816146478898484,0.028551338299418354,0.022682500387899557,0.03455609041473957,0.04029785455595772,0.06567100340585594,0.02931838423866373,0.029069506201663355,0.02307030518680394,0.035389943627364626,0.040576243488223404,0.06254266544016326,1.4044866920152101,1.2800000000000034,0.6399999999999961,1.9000000000000017,2.741999999999996,4.9399999999999995,0.8930193155893537,0.893,0.8826,0.9056,0.91442,0.9276,0.9589353612167301
300,makespan,10,263,2630,0.08339113364538862,0.08286795581736758,0.07413588078544847,0.09134082773258502,0.10161985554471852,0.12341190026567511,0.05557505110515986,0.05178801099418382,0.03800286325183192,0.06851676076156248,0.08849914420764837,0.1269185127818431,0.0483558174904943,0.04346666666666671,0.03526666666666667,0.063,0.07241333333333332,0.09426666666666667,0.5645898756339995,0.6495060803966464,0.20424211008604976,0.8672354438278876,0.9642951249299708,0.9999019811567649,0.10706274531580104,0.0917405077690137,-0.20881310643088846,0.44551815297787156,0.7272083704739842,1.1351003437013911,0.3878421168102848,0.33886188384580895,0.14577677153195526,0.5583997313529359,0.8231940926353352,1.2777534283897023,0.03284153844625337,0.03097709466193351,0.024787247573385414,0.03860556671850592,0.049222342212013555,0.07046622140344372,0.027537726282901968,0.026262673903934046,0.020852501289969717,0.03281907909458049,0.04042725023263962,0.06233932592802064,0.030189632364577675,0.02902190882128949,0.023040798330452958,0.035415937349212015,0.04477575516549288,0.06332694549863638,0.9909049429657791,0.9000000000000008,0.48000000000000265,1.419999999999999,1.9199999999999995,4.34,0.9035174144486692,0.9048,0.8954,0.9112,0.9184,0.9434,0.9623574144486692
