seed,S,objective,solution_count,js_distance_mean,js_distance_median,js_distance_p25,js_distance_p75,js_distance_p90,js_distance_max,wasserstein_normalized_mean,wasserstein_normalized_median,wasserstein_normalized_p25,wasserstein_normalized_p75,wasserstein_normalized_p90,wasserstein_normalized_max,ks_statistic_mean,ks_statistic_median,ks_statistic_p25,ks_statistic_p75,ks_statistic_p90,ks_statistic_max,ks_pvalue_mean,ks_pvalue_median,ks_pvalue_p25,ks_pvalue_p75,ks_pvalue_p90,ks_pvalue_max,mean_signed_error_pct_mean,mean_signed_error_pct_median,mean_signed_error_pct_p25,mean_signed_error_pct_p75,mean_signed_error_pct_p90,mean_signed_error_pct_max,mean_absolute_error_pct_mean,mean_absolute_error_pct_median,mean_absolute_error_pct_p25,mean_absolute_error_pct_p75,mean_absolute_error_pct_p90,mean_absolute_error_pct_max,kl_sample_to_oos_mean,kl_sample_to_oos_median,kl_sample_to_oos_p25,kl_sample_to_oos_p75,kl_sample_to_oos_p90,kl_sample_to_oos_max,kl_oos_to_sample_mean,kl_oos_to_sample_median,kl_oos_to_sample_p25,kl_oos_to_sample_p75,kl_oos_to_sample_p90,kl_oos_to_sample_max,symmetric_kl_mean,symmetric_kl_median,symmetric_kl_p25,symmetric_kl_p75,symmetric_kl_p90,symmetric_kl_max,absolute_coverage_gap_pp_mean,absolute_coverage_gap_pp_median,absolute_coverage_gap_pp_p25,absolute_coverage_gap_pp_p75,absolute_coverage_gap_pp_p90,absolute_coverage_gap_pp_max,coverage_mean,coverage_median,coverage_p25,coverage_p75,coverage_p90,coverage_max,ks_pvalue_gt_0_05_fraction
940008,100,makespan,263,0.13094276702216703,0.13261020583055125,0.12053142330736379,0.14083218402275294,0.15042995011305801,0.18089247653070342,0.0786334229931301,0.0767825447286676,0.07138122749653861,0.0837723175675445,0.09447293349696194,0.1434406897099928,0.07368365019011407,0.0716,0.0625,0.0816,0.09552000000000002,0.1256,0.6488740564878458,0.6805392657989229,0.5141042813470984,0.8265709952881697,0.9104517132927954,0.9887784295206928,-0.2378141765265072,-0.29970307758714176,-0.5121737271025524,0.11756242543407097,0.25220645907931655,0.7089169196007579,0.379367728220291,0.3814527083243186,0.16593823588677067,0.5211546851520419,0.6527072277547505,1.1521584959773274,0.08372392824740839,0.08353679428023446,0.07198551466271713,0.09509842679136397,0.1061850042477137,0.1543450431453483,0.06718865523133208,0.06694335383551447,0.05412971683790102,0.07822872127946727,0.09240650261244841,0.1320555119337784,0.07545629173937024,0.07558783002308063,0.06341012160951201,0.08610755919703425,0.09823240797670796,0.14146098930205545,1.1633460076045645,1.2199999999999989,0.8199999999999985,1.4800000000000035,1.9160000000000001,4.380000000000006,0.8894524714828898,0.8878,0.8852,0.8926,0.90044,0.9136,1.0
940008,300,cost,263,0.08975562767491627,0.08979986293711593,0.08388608068711681,0.09503470348022439,0.1004622550004893,0.11618523623766798,0.051898341290184155,0.052120945475990506,0.048172440571576026,0.055655567581003554,0.057998520843474,0.0626592746407592,0.03313586818757922,0.03206666666666669,0.028299999999999992,0.03646666666666673,0.04233333333333334,0.05793333333333328,0.8783058334411119,0.9291748595271886,0.8394490328583695,0.9754783783406544,0.992216370233001,0.9992336318816112,0.07055958912507247,0.06629399082917618,0.050558345555542006,0.08258843739599113,0.10565405524740527,0.15883472391831488,0.07055958912507247,0.06629399082917618,0.050558345555542006,0.08258843739599113,0.10565405524740527,0.15883472391831488,0.04162666107864954,0.04110463945269517,0.03638091222519022,0.04623634827807077,0.05225717101667123,0.06235638851309823,0.02981859860162274,0.02940526831341201,0.025127101703775884,0.034175915050260436,0.03783020014020609,0.05183750372875485,0.03572262984013613,0.035303978303299094,0.031096152788115103,0.040031471674993505,0.04467083744219302,0.056733834748347964,1.2289733840304164,1.200000000000001,0.8599999999999941,1.589999999999997,1.9559999999999957,2.6000000000000023,0.9121026615969581,0.912,0.9086,0.9158999999999999,0.9195599999999999,0.926,1.0
940008,300,emission,263,0.08635309009828221,0.08620048991800716,0.07930675051245512,0.09333599483666877,0.09903890870335214,0.10856355076463116,0.061033203288440724,0.060854826616963516,0.05867383108488901,0.06312934647016544,0.0654106719082002,0.07033890959059383,0.06972294043092522,0.06906666666666667,0.06413333333333332,0.07490000000000002,0.07973333333333335,0.09760000000000002,0.1414929308721392,0.12899150911360668,0.07963420178802183,0.18806544952297943,0.25688755300446603,0.39503472753756474,0.002965917676619699,0.0029519814616785255,0.002436243666250524,0.003394762090899474,0.003839102574180549,0.005191595234415189,0.002965917676619699,0.0029519814616785255,0.002436243666250524,0.003394762090899474,0.003839102574180549,0.005191595234415189,0.03030426653447604,0.029874598539388352,0.025366999846581587,0.03518427023055254,0.03889970725934751,0.048326685134652235,0.030932880556090184,0.030458192181390554,0.025485947153256146,0.03568070650240692,0.041049031473336786,0.05112920367304273,0.030618573545283113,0.030089884069467727,0.025387293206528355,0.03546941115604772,0.04008607304126919,0.048306674065647405,1.7412167300380248,1.760000000000006,1.5000000000000013,2.090000000000003,2.3160000000000007,2.8200000000000003,0.882603041825095,0.8824,0.8791,0.885,0.88776,0.902,0.908745247148289
940008,300,makespan,263,0.07639686290870554,0.07732756119716039,0.06978714153393861,0.08491606771742455,0.08844890807391667,0.0944897572981866,0.03091552108198579,0.030732359496256672,0.02617815044555305,0.03532377486260612,0.03873846860192858,0.04484720469793067,0.038004562737642585,0.03626666666666667,0.03206666666666666,0.043166666666666687,0.047133333333333347,0.06173333333333331,0.7779131606129873,0.8442274793747602,0.6580830105350208,0.929174859527189,0.975299467684322,0.9950200298984733,-0.04419621020663827,-0.06992375442998008,-0.10682336410753511,0.010279469255546365,0.09464280626659417,0.18446059898607986,0.08472338329006984,0.07716094354144014,0.04487649611642029,0.11830106134306168,0.14992408134532395,0.302891317472182,0.02554500697990072,0.02612446300201868,0.021051084300013415,0.030263981298622067,0.03344805665260721,0.03698690115776457,0.024203745749959153,0.023843634215029483,0.01865910003559393,0.030267599329623862,0.033711138387148294,0.04198693924852117,0.02487437636492994,0.025153029685999848,0.019991765699679184,0.030183877314798054,0.032656024518938204,0.03781562941258233,0.8511787072243362,0.9000000000000008,0.49000000000000155,1.0600000000000054,1.4399999999999968,2.3600000000000065,0.8924570342205322,0.8912,0.8899,0.896,0.90016,0.9128,1.0
940009,30,cost,263,0.2611667729098856,0.2607740207896738,0.24622920586215863,0.2747209045310608,0.2845076557557153,0.32765865680068185,0.19232720925725355,0.19416976625977123,0.1793837164616786,0.20401298657602124,0.2124637502617529,0.23322955790986408,0.16309302915082383,0.16693333333333332,0.15076666666666663,0.17776666666666663,0.18826666666666664,0.20999999999999996,0.3946072123941116,0.3462580506154367,0.27466824875054036,0.4737993192698208,0.7077812747304022,0.861228913107827,-0.1021354829852211,-0.0964600162963513,-0.15505278616936044,-0.057622689245464806,-0.012816002055480457,0.11570428569266766,0.10661330933822236,0.09720774765094269,0.0592406324420255,0.15505278616936044,0.19466821639479537,0.23686010445651176,0.3401520431320165,0.33601864281486393,0.31026178896085294,0.3683559702170476,0.3959993524964594,0.49148244362724236,0.2915702989181832,0.2867140430919875,0.23992669594519503,0.3354861206613828,0.3745635160816895,0.5210866361599393,0.3158611710250999,0.3127579936442244,0.27561860067208876,0.35145901452314066,0.37400113393156714,0.4979081852737642,3.5918631178707203,3.6799999999999944,2.829999999999999,4.3699999999999966,4.84,5.940000000000001,0.9359186311787072,0.9368,0.9283,0.9437,0.9484,0.9594,1.0
940009,30,emission,263,0.20544753896882897,0.20435418483863138,0.1909553408846713,0.21857337553690864,0.2313551095987424,0.26059206165651355,0.2230163819303821,0.2217833824704776,0.21039487163332368,0.23502787486387322,0.2504786564157974,0.2624580321324845,0.17350874524714827,0.17093333333333327,0.16026666666666667,0.18346666666666672,0.19929333333333332,0.2267333333333333,0.3172318536366592,0.31848616784584827,0.24158996003420313,0.39597638776997246,0.45235242243392193,0.598072649762551,-0.02284546655345181,-0.022452959327966687,-0.024567865891118586,-0.021015728708384654,-0.019975397072714864,-0.017473757899941076,0.02284546655345181,0.022452959327966687,0.021015728708384654,0.024567865891118586,0.026421490890184928,0.028327156558239787,0.20945751864409753,0.21106704553574146,0.18321019233656122,0.2342311180639639,0.25598226056776163,0.313468993020594,0.16987519554659825,0.16562620972446876,0.14277830759063065,0.19344169758929342,0.21794086460710246,0.2972101325053762,0.1896663570953479,0.18693579779541286,0.1634255579115472,0.2131484193635116,0.23508314542704464,0.298665797950648,7.796958174904944,7.920000000000005,7.050000000000001,8.840000000000003,9.528000000000004,11.220000000000008,0.8220304182509507,0.8208,0.8116,0.8295,0.8406,0.8664,1.0
940009,30,makespan,263,0.2022583783509381,0.2048732740474824,0.18390093587121006,0.21453287649742236,0.2270431427761942,0.2873756485752022,0.1158395647576992,0.11854496898916575,0.09221205304924765,0.13504318580437474,0.1439757170907041,0.17351861742279312,0.1100851711026616,0.10446666666666671,0.09506666666666663,0.12173333333333336,0.14353333333333337,0.17706666666666665,0.8139491314488699,0.8833521723693762,0.7412319864067116,0.9393202649746282,0.9775372977473147,0.9997707348618882,-0.24283175043700178,-0.21363617204073923,-0.5353449561590613,0.0955523635283746,0.24853383656215958,0.8115466252590675,0.3768095656426237,0.2907682939181398,0.14113010424121575,0.5658784007852748,0.8349853279315994,1.0561548679166008,0.24138702760029349,0.23657568125869305,0.20871902167838743,0.27053380953521194,0.2944022684699065,0.37910796181104894,0.15689506807269435,0.1514036409761814,0.12135817100319118,0.17709136574606177,0.21396062311763664,0.38593055545258836,0.19914104783649392,0.19916494458246442,0.16494561675010055,0.2271629996596974,0.24494427850781608,0.3825192586318187,6.736273764258557,7.16,4.239999999999999,8.999999999999996,10.999999999999998,13.0,0.8326372623574145,0.8284,0.81,0.8576,0.8842000000000001,0.8998,1.0
940009,100,cost,263,0.12323577685061626,0.12306331629308188,0.11696439889863179,0.12967125922470518,0.1370424768137969,0.1692609947643897,0.07733596296330955,0.07561184672775505,0.06492226643238685,0.09024212056041347,0.09899435156633914,0.10757730071300324,0.07071330798479088,0.07000000000000006,0.06540000000000001,0.07540000000000002,0.081,0.09079999999999999,0.6929425629581515,0.7074347700819408,0.6163079874261275,0.7824493550426797,0.844665286997795,0.9168678589022567,-0.14765801905896392,-0.15126783151116543,-0.1912896291598422,-0.0997134587880418,-0.0793934375741332,-0.03210304243629494,0.14765801905896392,0.15126783151116543,0.0997134587880418,0.1912896291598422,0.21990530410195183,0.27679684960562506,0.07258458412694524,0.07176522457600672,0.06533662967297577,0.07898798322277341,0.0868120432441049,0.12779573386791196,0.05816350937660753,0.056897738695340254,0.05060229305689388,0.06446776410507264,0.07247783247830433,0.11945093710507079,0.0653740467517764,0.06468235133117473,0.05795073692996745,0.07133795098256696,0.07905085677167402,0.1215481355689623,1.2840304182509503,1.2600000000000056,0.7500000000000007,1.7600000000000005,2.396000000000003,3.400000000000003,0.8997269961977186,0.9022,0.8863,0.9122,0.9174,0.934,1.0
940009,100,emission,263,0.11267870001651448,0.11334307329587555,0.10068234121336449,0.12340995161773101,0.13593834407894548,0.1595794192021127,0.09686933248506428,0.09639779109420826,0.08936433797373305,0.10388077722638707,0.11052955712064673,0.117901811622126,0.06912851711026616,0.068,0.061799999999999994,0.0748,0.0832,0.1086,0.7146754671216106,0.7406007185310143,0.626430825346822,0.8367162973545912,0.9262055404195535,0.9834325844961851,-0.005194018323393794,-0.00515955738698295,-0.005849646794569765,-0.004649681505553961,-0.004136248031360071,-0.002091398098922001,0.005194018323393794,0.00515955738698295,0.004649681505553961,0.005849646794569765,0.0064537354891318925,0.007619802521500736,0.05616172292542262,0.05605771980128668,0.04486312356945621,0.06530275795139753,0.07663283290197981,0.11072838435855911,0.052578035022868945,0.05041057104882298,0.0397557885079101,0.06267250211818925,0.07712998373847481,0.11585182381499773,0.05436987897414579,0.053433795848226946,0.042566970627395034,0.06398212107649792,0.07775205789200901,0.10601838470959263,5.038555133079849,5.000000000000004,4.310000000000003,5.720000000000002,6.220000000000003,7.420000000000004,0.8496144486692015,0.85,0.8428,0.8569,0.86076,0.872,1.0
940009,100,makespan,263,0.11154141717305092,0.11034395014084461,0.10073302002005646,0.12190869802423643,0.12881307287760324,0.1404386329104271,0.08272744623651604,0.08233955517953898,0.07330161691167081,0.08848489755706396,0.105567257351591,0.1372543663946621,0.07160380228136883,0.06879999999999997,0.06199999999999997,0.07940000000000003,0.089,0.1038,0.6789378776762411,0.7274126666447269,0.5497082445495598,0.833843895195004,0.9055871675439227,0.9734924004039879,-0.795548926835313,-0.8101669620089379,-0.9049301445145976,-0.6754091063801646,-0.5563404900276107,-0.33353317081529477,0.795548926835313,0.8101669620089379,0.6754091063801646,0.9049301445145976,1.0380338115216983,1.1812005595446329,0.06477151855089164,0.06260619104538925,0.0557072093807468,0.07124195851843879,0.08238841827210716,0.09958082625087983,0.04684052614268635,0.04543981642913943,0.03688178818716231,0.055790542623025866,0.06529062253902153,0.07852663327016572,0.05580602234678899,0.05388316662389174,0.046971618902522376,0.06490834267788365,0.07194345901482452,0.08424095779468645,3.824638783269964,4.139999999999999,3.2100000000000017,4.600000000000004,5.2800000000000065,5.559999999999999,0.8618114068441065,0.8586,0.854,0.8679,0.87776,0.902,1.0
