solution_id,decision_fingerprint,seed,S,objective,comparison,reference_oos_seed,comparison_oos_seed,histogram_bins,histogram_smoothing,js_distance,js_divergence,wasserstein,wasserstein_normalized,wasserstein_scale,wasserstein_scale_basis,ks_statistic,ks_pvalue,kl_sample_to_oos,kl_oos_to_sample,symmetric_kl,sample_mean,oos_mean,mean_signed_error_pct,mean_absolute_error_pct,q90_reestimate,q90_oos,signed_error,signed_error_pct,coverage,exceedance,coverage_gap_pp,absolute_coverage_gap_pp
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,930002,5000,cost,independent_oos_baseline,930001,930002,20,0.5,0.039194020724330925,0.0015361712605392818,9526.842940907292,0.0353910305182387,269188.0626645684,oos_iqr,0.020799999999999985,0.22715738303256128,0.007193828600384582,0.0057285930495889845,0.006461210824986783,11665296.551415263,11656386.000898356,0.07644350930228624,0.07644350930228624,11959588.181570949,11937224.557427725,22363.62414322421,0.18734358255251923,0.9096,0.09040000000000004,0.9599999999999942,0.9599999999999942
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,930002,5000,emission,independent_oos_baseline,930001,930002,20,0.5,0.03299879310672052,0.0010889203465001458,258467.85257290513,0.025250406569857678,10236185.77617073,oos_iqr,0.019000000000000017,0.32464327024437933,0.004396547558570715,0.004359156535233739,0.004377852046902227,9859100468.235065,9859055760.104015,0.00045347274767455195,0.00045347274767455195,9871191710.722296,9871117948.166279,73762.556016922,0.0007472563533761097,0.9018,0.09819999999999995,0.18000000000000238,0.18000000000000238
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,930002,5000,makespan,independent_oos_baseline,930001,930002,20,0.5,0.032459664984078235,0.0010536298508785947,1.6446122695029346,0.03339784063058795,49.24307196066712,oos_iqr,0.019400000000000084,0.3008012928035292,0.0045019209654649905,0.004087613360439292,0.004294767162952141,518.6517370933719,517.1822035547532,0.28414232518408206,0.28414232518408206,573.1722153565614,572.8550476120045,0.3171677445569685,0.0553661429499678,0.9136,0.08640000000000003,1.3599999999999945,1.3599999999999945
formal-run-01-CCP30-solution-0001,b2613fff54ca503d147adb3771dc151860deac6ba694a5fa2135d6edb22e8093,930002,5000,cost,independent_oos_baseline,930001,930002,20,0.5,0.03143889561878214,0.0009884041577286787,12478.243713186539,0.03546993544615419,351797.75650083646,oos_iqr,0.02279999999999993,0.14672889406686074,0.005266465334150754,0.0034180811570378665,0.00434227324559431,11942666.685219917,11930305.392752346,0.10361254017085995,0.10361254017085995,12323990.903122902,12300554.830207704,23436.07291519828,0.190528583780985,0.9092,0.09079999999999999,0.9199999999999986,0.9199999999999986
formal-run-01-CCP30-solution-0001,b2613fff54ca503d147adb3771dc151860deac6ba694a5fa2135d6edb22e8093,930002,5000,emission,independent_oos_baseline,930001,930002,20,0.5,0.025539442389126858,0.0006522631175475298,216926.51945691608,0.020960385608735744,10349357.283126831,oos_iqr,0.0232,0.13378475057842076,0.0027183128795349337,0.002533331975745673,0.0026258224276403033,9267652337.807484,9267556450.429537,0.0010346565295796975,0.0010346565295796975,9279985300.560577,9279475925.810297,509374.75028038025,0.00548926204834031,0.9064,0.09360000000000002,0.6399999999999961,0.6399999999999961
formal-run-01-CCP30-solution-0001,b2613fff54ca503d147adb3771dc151860deac6ba694a5fa2135d6edb22e8093,930002,5000,makespan,independent_oos_baseline,930001,930002,20,0.5,0.03418255794637738,0.0011684472677574477,1.728224654247473,0.03161089491702592,54.671804097410586,oos_iqr,0.019600000000000062,0.2893512907607284,0.004815491489044312,0.004571738562539144,0.004693615025791728,513.2436114715076,511.5944187917268,0.32236330561929116,0.32236330561929116,573.5702318629109,573.0069269542795,0.5633049086313804,0.0983068235536927,0.9092,0.09079999999999999,0.9199999999999986,0.9199999999999986
formal-run-01-CCP30-solution-0002,e34f474f6d450f85db480de42503cd3e80544f8046b8077b869342d14ab6fc4e,930002,5000,cost,independent_oos_baseline,930001,930002,20,0.5,0.039117761320764846,0.001530199250748326,12891.56918562377,0.044355051558708856,290644.8923537005,oos_iqr,0.02400000000000002,0.11067945593694506,0.007382146748063263,0.005591177798898376,0.00648666227348082,11747935.273090253,11736083.727233017,0.10098382162811985,0.10098382162811985,12082701.214564808,12056940.434353117,25760.780211690813,0.21365934709515663,0.9126,0.08740000000000003,1.2599999999999945,1.2599999999999945
formal-run-01-CCP30-solution-0002,e34f474f6d450f85db480de42503cd3e80544f8046b8077b869342d14ab6fc4e,930002,5000,emission,independent_oos_baseline,930001,930002,20,0.5,0.028672695266069893,0.0008221234538209069,258680.8505036102,0.02546737994817526,10157340.528551102,oos_iqr,0.021400000000000086,0.20011475900980402,0.0033514909342697696,0.0032354591347223847,0.003293475034496077,10256760553.476963,10256668790.991785,0.0008946616786396263,0.0008946616786396263,10269159742.24491,10268577987.354298,581754.8906116486,0.005665389027848616,0.9078,0.09219999999999995,0.7800000000000029,0.7800000000000029
formal-run-01-CCP30-solution-0002,e34f474f6d450f85db480de42503cd3e80544f8046b8077b869342d14ab6fc4e,930002,5000,makespan,independent_oos_baseline,930001,930002,20,0.5,0.03703407615918895,0.0013715227969646074,2.0581597140916075,0.039172019133158695,52.54157839286353,oos_iqr,0.022399999999999975,0.16066237817968165,0.006367155843048501,0.0050531476082406645,0.005710151725644583,502.0108625048767,500.12755752682256,0.3765649282289595,0.3765649282289595,571.4971898733315,561.4308751718597,10.06631470147181,1.7929749051279749,0.911,0.08899999999999997,1.100000000000001,1.100000000000001
formal-run-01-CCP30-solution-0003,e68e972d1f9e6a59c28a22f616bc989bd7b5f8342a94bfd62864d730625a57b4,930002,5000,cost,independent_oos_baseline,930001,930002,20,0.5,0.03553400109660033,0.0012626652339331932,9938.85465763824,0.03781614488259445,262820.4088093806,oos_iqr,0.020199999999999996,0.25687337890743356,0.006062587460186198,0.004606721029041595,0.005334654244613896,11718547.072483966,11709397.62822481,0.07813761689244669,0.07813761689244669,12014527.043098249,11994219.833860485,20307.209237763658,0.16930829615474488,0.9128,0.08720000000000006,1.2799999999999923,1.2799999999999923
