objective,metric,S30_median,S100_median,S300_median,reduction_30_to_100,reduction_100_to_300,share_of_30_to_300_reduction_captured_by_S100
cost,js_distance,0.2338261671033096,0.13617478371612657,0.08406717919750578,0.09765138338718304,0.05210760451862079,0.652056913262557
cost,wasserstein_normalized,0.18434211204849957,0.0888275019115646,0.06102419726920841,0.09551461013693496,0.027803304642356197,0.7745396141986564
cost,ks_statistic,0.1561333333333333,0.08679999999999999,0.04996666666666669,0.0693333333333333,0.0368333333333333,0.653061224489796
emission,js_distance,0.21760214990442722,0.1311801964300413,0.08428201673887782,0.08642195347438592,0.046898179691163486,0.6482288265274384
emission,wasserstein_normalized,0.19909986212667302,0.09729156530472374,0.062480892206621286,0.10180829682194928,0.03481067309810246,0.7451988320620967
emission,ks_statistic,0.1641,0.07899999999999996,0.05166666666666672,0.08510000000000004,0.027333333333333237,0.7568929736139942
makespan,js_distance,0.219508676028834,0.13325402776166073,0.08286795581736758,0.08625464826717327,0.05038607194429315,0.6312514171008817
makespan,wasserstein_normalized,0.1466396385628379,0.08175156481466288,0.05178801099418382,0.06488807374817503,0.029963553820479057,0.6841007941714938
makespan,ks_statistic,0.13080000000000003,0.07539999999999997,0.04346666666666671,0.05540000000000006,0.03193333333333326,0.6343511450381687
