generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.12514,0.0,0.14769515198801386,0.0,0.051386218317944675,0.0,0.3,0.0,0.3,0.0,7946826.914034805,10898610906.180004,403.1299600452513,7946826.914034805,0.0,10898610906.180004,0.0,403.1299600452513,0.0,1
1,0.12514,0.0,0.14769515198801386,0.0,0.051386218317944675,0.0,1.0,0.0,1.0,0.0,7189173.842712905,8960933073.819998,393.44409436767876,7189173.842712905,0.0,8960933073.819998,0.0,393.44409436767876,0.0,0
2,0.12514,0.0,0.14769515198801386,0.0,0.051386218317944675,0.0,1.0,0.0,1.0,0.0,7189173.842712905,8960933073.819998,393.44409436767876,7189173.842712905,0.0,8960933073.819998,0.0,393.44409436767876,0.0,0
3,0.12514,0.0,0.14769515198801386,0.0,0.051386218317944675,0.0,1.0,0.0,1.0,0.0,7189173.842712905,8960933073.819998,393.44409436767876,7189173.842712905,0.0,8960933073.819998,0.0,393.44409436767876,0.0,0
4,0.12514,0.0,0.14769515198801386,0.0,0.051386218317944675,0.0,1.0,0.0,1.0,0.0,7189173.842712905,8960933073.819998,393.44409436767876,7189173.842712905,0.0,8960933073.819998,0.0,393.44409436767876,0.0,0
