scenario_id,candidate_label,max_kpi_score,mean_kpi_score,max_rerouted_volume_share,mean_rerouted_volume_share,max_recovery_cost_delta_rel,mean_recovery_cost_delta_rel,monotonicity_score,recommended_role,role_priority
M1,Boundary bottleneck congestion,0.2654049744897959,0.13368074960579318,0.2661978457281633,0.2413985949860285,0.12219967576893044,0.05933319258440685,0.75,core,0
M2,Corridor/link disruption,0.14031675170068028,0.07726952471794439,0.30444726796215493,0.2516617544130147,0.10701213960158082,0.05558409291148068,0.5,core,0
