scenario_id,scenario_type,candidate_label,level,intensity,runs,cost_delta_rel_mean,time_delta_rel_mean,emission_delta_rel_mean,on_time_drop_mean,on_time_rate_mean,late_h_per_teu_delta_mean,p95_lateness_delta_h_mean,route_change_ratio_mean,path_route_change_ratio_mean,rerouted_volume_share_mean,border_share_shift_mean,recovery_cost_delta_mean,recovery_cost_delta_rel_mean,infeasible_teu_mean,total_teu_mean,feasible_ratio_mean,runtime_s_mean,kpi_score
M1+M2,combination,Boundary bottleneck congestion + Corridor/link disruption,r3,3,4,0.6441006109849459,0.8096014946368554,-0.12710026086004136,0.2194674837907486,0.7749208439309125,22.393939982407968,224.63136904761905,0.6844434462423711,0.6844434462423711,0.28483142857399923,0.4695033277945664,7150581.808234958,0.6441006109849459,0.0,4455.0,0.0,18.160911756334826,1.3370914824263038
M1+M2,combination,Boundary bottleneck congestion + Corridor/link disruption,r5,5,4,116707.77626565273,237270.47856179887,-0.1405683876934773,0.3071636044329543,0.6872247232887068,4717931.271631594,30822107.456679564,0.6794226686707366,0.6794226686707366,0.3008765012360235,0.4503500844024622,1293110069039.2905,116707.77626565273,0.0,4455.0,0.0,17.460566097986884,237270.47856179887
M1,single,Boundary bottleneck congestion,r1,1,4,0.01611242124046866,0.0019481986796220892,0.054009268944721,0.001234567901234468,0.9931537598204266,-0.21399091443535861,0.0,0.6814362683522444,0.6814362683522444,0.23416298077848438,0.12719403941645036,180032.51327079767,0.01611242124046866,0.0,4455.0,0.5708333333333333,26.57098805869464,0.01611242124046866
M1,single,Boundary bottleneck congestion,r2,2,4,0.03668591399186894,0.03530340344405701,0.07212525444927641,0.023288918118204327,0.9710994096034568,0.1653100311346281,0.0,0.712182702984027,0.712182702984027,0.2661978457281633,0.14185093456087883,408083.1679344089,0.03668591399186894,0.0,4455.0,0.0,26.680899956147186,0.03668591399186894
M1,single,Boundary bottleneck congestion,r3,3,4,0.044670527138524985,0.028690126480234033,-0.040095754741751664,0.10625025406646976,0.8881380736551914,1.6408849020034426,10.27154761904761,0.7358873660150005,0.7358873660150005,0.23640515971169695,0.2477471588074701,495884.9449189147,0.044670527138524985,0.0,4455.0,0.0,23.465298783732578,0.10625025406646976
M1,single,Boundary bottleneck congestion,r4,4,4,0.12219967576893044,0.005724105955950779,-0.19086465329830526,0.19146890862211507,0.802919419099546,5.870599413987687,44.58803571428571,0.6543306165416253,0.6543306165416253,0.24475977845263408,0.3959883353588503,1359403.5584126594,0.12219967576893044,0.0,4455.0,0.0,17.267315853154287,0.2654049744897959
M1,single,Boundary bottleneck congestion,r5,5,4,0.07699742478224121,0.005724105955950779,-0.18248847280821548,0.16113155143446264,0.8332567762871985,4.637721423515489,40.983630952380935,0.6147609244935203,0.6147609244935203,0.22546721025916364,0.38139798743516906,857115.9657812496,0.07699742478224121,0.0,4455.0,0.0,17.096756046870723,0.24395018424036272
M2,single,Corridor/link disruption,r1,1,4,0.03133024067659951,0.006361672804408601,0.08641044007724388,0.006565656565656636,0.9878226711560045,-0.15079466623911045,0.0,0.7034181518359626,0.7034181518359626,0.21812996047789046,0.18885675178674177,347237.5504012662,0.03133024067659951,0.0,4455.0,0.25625,26.73880813003052,0.03133024067659951
M2,single,Corridor/link disruption,r2,2,4,0.009303415909861983,0.0,0.040259404279245015,0.0034463337487698475,0.9909419939728912,-0.21382661182954166,0.0,0.6660947900773315,0.6660947900773315,0.22909007750141597,0.16738486287398063,101547.67354280129,0.009303415909861983,0.0,4455.0,0.5,26.18932065181434,0.009303415909861983
M2,single,Corridor/link disruption,r3,3,4,0.10701213960158082,0.005483125790119801,0.02173153882266573,0.08537904697012888,0.9090092807515322,2.733645686016237,21.06619047619047,0.677491902386353,0.677491902386353,0.30444726796215493,0.4213916125481343,1193804.9399219812,0.10701213960158082,0.0,4455.0,0.0,20.970936005702242,0.12539399092970518
M2,single,Corridor/link disruption,r4,4,4,0.04291613746965267,0.006443102216305061,-0.0034886026796155448,0.08000322437287505,0.9143851033487861,1.5541994606338965,8.124999999999986,0.6795418955131661,0.6795418955131661,0.23293539387175563,0.2927786379305889,475952.4362240741,0.04291613746965267,0.0,4455.0,0.0,20.145183869986795,0.08000322437287505
M2,single,Corridor/link disruption,r5,5,4,0.08735853089970842,0.0021131568554404274,-0.013084302477039794,0.12180220416456536,0.8725861235570957,3.1935789461250144,23.573214285714286,0.6623716174414586,0.6623716174414586,0.27370607225185645,0.3558483102506924,966831.9549927106,0.08735853089970842,0.0,4455.0,0.0,18.9136041153688,0.14031675170068028
