scenario_id,scenario_type,candidate_label,level,intensity,runs,cost_delta_rel_mean,time_delta_rel_mean,emission_delta_rel_mean,on_time_drop_mean,on_time_rate_mean,late_h_per_teu_delta_mean,p95_lateness_delta_h_mean,route_change_ratio_mean,path_route_change_ratio_mean,rerouted_volume_share_mean,border_share_shift_mean,recovery_cost_delta_mean,recovery_cost_delta_rel_mean,infeasible_teu_mean,total_teu_mean,feasible_ratio_mean,runtime_s_mean,kpi_score
M1+M2,combination,Boundary bottleneck congestion + Corridor/link disruption,r3,3,4,0.09829193385074066,0.003732821826459783,-0.25319934667507976,0.19028265435616915,0.8097173456438309,6.191037469238964,42.94038690476191,0.6873193995924987,0.6873193995924987,0.27067937061948316,0.4390665564353242,1114564.3295554547,0.09829193385074066,0.0,4455.0,0.0,17.823211750015616,0.2579598945516235
M1+M2,combination,Boundary bottleneck congestion + Corridor/link disruption,r5,5,4,0.1309548744048267,0.003732821826459783,-0.22538807878666348,0.24115159818750576,0.7588484018124944,7.041324398105752,43.470416666666665,0.6841733213392913,0.6841733213392913,0.27526886172487897,0.4390665564353242,1486363.8820870495,0.1309548744048267,0.0,4455.0,0.0,17.8913735547103,0.2933885165877397
M1,single,Boundary bottleneck congestion,r1,1,4,-0.013422236849659928,-0.004028579002852134,-0.047739324996986146,0.006846240179573693,0.9931537598204264,0.00554056437389756,0.0,0.6995309401915899,0.6995309401915899,0.2638042896061512,0.1532273285345029,-157693.83420104953,-0.013422236849659928,0.0,4455.0,0.75,27.411071457900107,0.013422236849659928
M1,single,Boundary bottleneck congestion,r2,2,4,0.0050251699064915644,0.024438667392599926,-0.0009819217140513937,0.03493059222493064,0.9650694077750694,0.15105123493279812,0.018571428571434012,0.7845764568511499,0.7845764568511499,0.2347727765164662,0.17244591978802468,53264.968166805804,0.0050251699064915644,0.0,4455.0,0.025,27.44100744999014,0.03493059222493064
M1,single,Boundary bottleneck congestion,r3,3,4,0.01770633389018097,0.047299030128198305,-0.10190213528912839,0.12193189777829305,0.8780681022217071,1.851563391403037,14.925952380952381,0.7349035361062541,0.7349035361062541,0.27006644132527535,0.3225823209921281,194674.1972306841,0.01770633389018097,0.0,4455.0,0.0,24.390004848479293,0.12193189777829305
M1,single,Boundary bottleneck congestion,r4,4,4,0.0822844729140308,0.002678565409313187,-0.24683807710629158,0.17901756332183305,0.8209824366781671,5.624053658572651,44.68485119047618,0.6689011503492782,0.6689011503492782,0.27224804138152775,0.4319752681185469,932595.1319773742,0.0822844729140308,0.0,4455.0,0.0,17.37690926983487,0.26598125708616777
M1,single,Boundary bottleneck congestion,r5,5,4,0.06712823918173796,0.003732821826459783,-0.20482626859640765,0.1841984661429107,0.8158015338570894,4.93989831766252,43.07529761904762,0.7086692048018798,0.7086692048018798,0.2892980424207263,0.4369866128721587,756381.2597066844,0.06712823918173796,0.0,4455.0,0.0,17.880132421734743,0.25640058106575964
M2,single,Corridor/link disruption,r1,1,4,0.0072095564380292845,0.004941851607447205,-0.00035841792639566524,0.021950991395435993,0.9780490086045641,0.1795646143979478,0.0,0.730612647544559,0.730612647544559,0.27727648765230717,0.22100457276503827,77575.81467589037,0.0072095564380292845,0.0,4455.0,0.25,28.827507191337645,0.021950991395435993
M2,single,Corridor/link disruption,r2,2,4,-0.012093777386200759,-0.018592352769247825,-0.013822030283424661,0.006846240179573526,0.9931537598204265,0.0005085778419113243,0.0,0.6808388737324091,0.6808388737324091,0.22783489143279692,0.1507498753017068,-138749.3915058705,-0.012093777386200759,0.0,4455.0,0.75,25.72176264692098,0.018592352769247825
M2,single,Corridor/link disruption,r3,3,4,0.04750741591669027,0.02904362771299197,-0.08441663150889968,0.11714600339728062,0.8828539966027195,2.6624167127732825,17.971934523809523,0.6878488606067119,0.6878488606067119,0.31738593179407826,0.36204344944025824,534885.712314662,0.04750741591669027,0.0,4455.0,0.0,20.618848971789703,0.11714600339728062
M2,single,Corridor/link disruption,r4,4,4,0.028683841577847667,0.004498781179211858,-0.005156558476449628,0.05471018050892812,0.9452898194910719,1.152897704073718,6.238095238095227,0.6965178459937846,0.6965178459937846,0.26724170709114414,0.21196118093757849,318297.8984042229,0.028683841577847667,0.0,4455.0,0.0,20.609847207320854,0.05471018050892812
M2,single,Corridor/link disruption,r5,5,4,0.07082133495460191,-0.0003731618094389342,-0.08777516920071754,0.1480042775327178,0.8519957224672823,3.526407070751424,23.59178571428572,0.719187139173165,0.719187139173165,0.32484839089533196,0.3950631228096471,809636.0494577154,0.07082133495460191,0.0,4455.0,0.0,19.26312424126081,0.1480042775327178
