replicate,algorithm_seed,training_master_seed,CCP100_optimisation_runtime_seconds,CCP300_optimisation_runtime_seconds,optimisation_runtime_seconds_S300_minus_S100,CCP100_oos_mean_hypervolume,CCP300_oos_mean_hypervolume,oos_mean_hypervolume_S300_minus_S100,CCP100_oos_mean_igd_plus,CCP300_oos_mean_igd_plus,oos_mean_igd_plus_S300_minus_S100,CCP100_oos_q90_hypervolume,CCP300_oos_q90_hypervolume,oos_q90_hypervolume_S300_minus_S100,CCP100_oos_q90_igd_plus,CCP300_oos_q90_igd_plus,oos_q90_igd_plus_S300_minus_S100,CCP100_all_objectives_mean_absolute_coverage_gap_pp,CCP300_all_objectives_mean_absolute_coverage_gap_pp,all_objectives_mean_absolute_coverage_gap_pp_S300_minus_S100,CCP100_cost_mean_coverage,CCP300_cost_mean_coverage,cost_mean_coverage_S300_minus_S100,CCP100_emission_mean_coverage,CCP300_emission_mean_coverage,emission_mean_coverage_S300_minus_S100,CCP100_makespan_mean_coverage,CCP300_makespan_mean_coverage,makespan_mean_coverage_S300_minus_S100
1,980101,980201,69.50602118577808,79.40108372084796,9.895062535069883,0.5953734630188872,1.1068270412835985,0.5114535782647114,0.32880554064353734,0.06057503696910811,-0.26823050367442924,0.6478943455105425,1.197530806598871,0.5496364610883285,0.27500730278465335,0.033882719589077126,-0.24112458319557623,4.563209876543211,0.8350210970464154,-3.7281887794967954,0.8673703703703706,0.8892632911392402,0.021892920768869617,0.9375037037037037,0.8957746835443038,-0.04172902015939994,0.833237037037037,0.8919974683544302,0.05876043131739317
2,980102,980202,71.02844647085294,80.5084407129325,9.479994242079556,0.657247195472619,1.2241978989127742,0.5669507034401552,0.262000646570041,0.025526604543037398,-0.23647404202700362,0.6463503807932677,1.0498370992710255,0.40348671847775786,0.20841852331053945,0.09919370938630873,-0.10922481392423072,7.182222222222226,1.739298245614037,-5.4429239766081885,0.8028266666666668,0.8769736842105263,0.07414701754385955,0.8452466666666667,0.8966421052631581,0.05139543859649143,0.8364600000000001,0.8764578947368422,0.03999789473684212
3,980103,980203,69.33397848112509,80.46101145166904,11.12703297054395,0.6918731014026285,0.5677054710160497,-0.12416763038657874,0.24506023415131895,0.39117391650222905,0.1461136823509101,0.7981158447872541,0.6844649409915822,-0.11365090379567189,0.1450974152456957,0.23031305296727947,0.08521563772158378,3.5640251572327077,1.8568075117370897,-1.707217645495618,0.8351773584905661,0.9050760563380282,0.06989869784746217,0.8824830188679247,0.8572450704225352,-0.025237948445389513,0.8760000000000001,0.8971633802816902,0.02116338028169007
4,980104,980204,69.55768791725859,78.85374203138053,9.296054114121944,0.850713448808601,0.5176973235780338,-0.33301612523056723,0.1443333457561741,0.39330792370314305,0.24897457794696895,0.9018466133032892,0.6091821568493249,-0.29266445645396433,0.07803116648988659,0.2294980963434393,0.1514669298535527,5.950847457627121,2.5371875000000013,-3.4136599576271194,0.8426406779661018,0.85565625,0.013015572033898248,0.8046983050847457,0.88005,0.07535169491525429,0.8747999999999999,0.8946406250000001,0.019840625000000167
5,980105,980205,68.42978639528155,78.71796271437779,10.288176319096237,0.41817277438359246,0.41847208682355475,0.00029931243996228485,0.43669096644713556,0.4726510855444629,0.035960119097327325,0.5065473826431206,0.5079829445539957,0.0014355619108751272,0.2880516756657965,0.3185016807049575,0.03045000503916101,1.9638888888888895,0.8983908045977015,-1.065498084291188,0.9171916666666666,0.8984068965517241,-0.018784770114942506,0.8642583333333334,0.9127448275862068,0.048486494252873436,0.8970666666666666,0.8957999999999999,-0.0012666666666666382
