generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.15846,0.0,0.3535543855621815,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5965017.506217164,4566534325.790001,490.0486092038675,5965017.506217164,0.0,4566534325.790001,0.0,490.0486092038675,0.0,0
1,0.15846,0.0,0.3535543855621815,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5965017.506217164,4566534325.790001,490.0486092038675,5965017.506217164,0.0,4566534325.790001,0.0,490.0486092038675,0.0,0
2,0.15846,0.0,0.3535543855621815,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5965017.506217164,4566534325.790001,490.0486092038675,5965017.506217164,0.0,4566534325.790001,0.0,490.0486092038675,0.0,0
3,0.15846,0.0,0.3535543855621815,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5965017.506217164,4566534325.790001,485.938860314892,5965017.506217164,0.0,4566534325.790001,0.0,485.938860314892,0.0,0
4,0.15846,0.0,0.3535543855621815,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5940028.403934645,4566534325.790001,485.938860314892,5940028.403934645,0.0,4566534325.790001,0.0,485.938860314892,0.0,0
