master_seed,S,min_on_time_prob,binding_batch,binding_batch_set,chance_vio_total,chance_constraint_pass,max_late_excess_h,maxlate_screen_pass,miss_alloc,miss_tt,cap_excess,border_cap_excess,nonccp_hard_pass,feasible_hard,obj_cost,obj_emission_gCO2,obj_time_h,penalty,candidate_id,candidate_fingerprint,stratum,binding_batches
810001,1000,0.914,17,17,0.0,True,2.981933830274329,False,0.0,0.0,0.0,0.0,True,False,6969463.280013555,7155341549.26,431.7708863405061,2981933830.274329,S1-01,980776db2467d81a3564740bdb4ad022c116dfc9796be8748e49de3684b57385,KNIFE,17
810001,1000,0.914,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6661715.075655056,7088706227.360001,425.28276138338975,0.0,S1-02,e076076a493c9a9fecd89aa712afd11fa9cc3cdce2ce014987b0f0fe862c247d,KNIFE,17
810001,1000,0.918,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6850636.789716526,7887089349.070001,393.7044486918703,0.0,S1-03,e8942358d76782a9b97983734bb2cf2d4925edde76bf34b013857987a6d07591,KNIFE,17
810001,1000,0.918,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6888093.043133039,8345740271.040001,389.2997113248052,0.0,S1-04,2fbdff2cf85833d2f25518e9e46cdb4092302467d94deae2a413a8ff7b39e0ea,OFF,17
810001,1000,0.923,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6846092.322060843,8013513563.38,390.4394858591897,0.0,S1-05,0b60f5ac3979e3d6c31937743b10148e837da4158c31b88b904216b3dc1384a2,KNIFE,2
810001,1000,0.923,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6745473.465963893,8096246576.780001,390.4394858591897,0.0,S1-06,48d52933dafc91da0fbdf6d1998d6a15c7958c4a5263e9422d67d354ce765a01,KNIFE,2
810001,1000,0.938,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7057114.830648622,8219219881.48,448.5171342177342,0.0,S1-07,a18d3cb935f4bfecee271aef01fa76ccbbcd3dcdde281613c9c85fed27cfeb15,OFF,8
810001,1000,0.97,2,"2,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7115956.1430092035,9044968863.32,387.10046160194736,0.0,S1-08,df02d8bdb02eaad5d040102be1b952d67f28556d77a5f2f9034b7520bbb80a63,OFF,2|17
810001,1000,0.97,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7104596.109246734,8344498311.79,409.7163716804388,0.0,S1-09,25d825efc4ab35fe1e8f79b49c4f34e7d9da53690921dd3fdb7aef692428c45e,OFF,17
810001,1000,0.981,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6746331.398716632,8134627364.78,380.7342414392226,0.0,S1-10,8f40fed8dfa17df7cd43c7c75460a77fd79256fd5af7897a41c10ccd0ec08352,OFF,16
