role,seed,S,objective,solution_count,mean_coverage,median_coverage,p05_coverage,p95_coverage,min_coverage,max_coverage,mean_abs_gap_pp,mean_signed_error_pct,below_90_count,above_90_count,equal_90_count
independent_reestimate,940004,100,makespan,263,0.8984722433460075,0.8986,0.8842,0.9138,0.8636,0.9224,0.7710266159695824,-0.16689753347524316,161,97,5
independent_reestimate,940004,300,cost,263,0.8923893536121673,0.8928,0.877,0.90638,0.8694,0.9148,0.946007604562739,-0.10993211003439593,208,53,2
independent_reestimate,940004,300,emission,263,0.8945346007604563,0.8952,0.887,0.9006,0.875,0.907,0.5859315589353637,-0.0036978277682516575,235,21,7
independent_reestimate,940004,300,makespan,263,0.9010190114068442,0.9014,0.8857200000000001,0.91694,0.884,0.9274,0.8661596958174904,0.06066234248469229,123,140,0
independent_reestimate,940005,30,cost,263,0.8966190114068442,0.9078,0.8329,0.9315599999999999,0.817,0.9488,2.4313307984790864,0.03979942155601863,107,156,0
independent_reestimate,940005,30,emission,263,0.8409391634980989,0.8404,0.81982,0.86278,0.7958,0.8764,5.906083650190117,-0.035544736296103996,263,0,0
independent_reestimate,940005,30,makespan,263,0.9209733840304182,0.9298,0.8672,0.9508,0.8354,0.9556,3.0778707224334583,0.8040113759008568,47,216,0
independent_reestimate,940005,100,cost,263,0.9077239543726235,0.9078,0.88146,0.9284,0.8688,0.934,1.3308745247148281,0.15402881606607227,64,199,0
independent_reestimate,940005,100,emission,263,0.9235505703422053,0.9238,0.90364,0.93978,0.891,0.9494,2.3851711026615945,0.017853617729656147,10,252,1
independent_reestimate,940005,100,makespan,263,0.9112167300380227,0.9162,0.8896,0.92916,0.8748,0.9386,1.50889733840304,0.37297596083616846,49,214,0
independent_reestimate,940005,300,cost,263,0.8928532319391635,0.8928,0.8808,0.90638,0.8738,0.9168,0.8977946768060852,-0.10224582896838938,216,47,0
independent_reestimate,940005,300,emission,263,0.9142311787072244,0.9146,0.9036,0.9226,0.8972,0.9276,1.4255513307984768,0.01025359745446614,2,261,0
independent_reestimate,940005,300,makespan,263,0.9079733840304182,0.9068,0.89722,0.921,0.8908,0.927,0.8815969581749036,0.2693269697638994,36,227,0
independent_reestimate,940006,30,cost,263,0.8437954372623575,0.8548,0.77228,0.8913599999999999,0.7538,0.9188,5.65984790874525,-0.7073158825949141,258,5,0
independent_reestimate,940006,30,emission,263,0.8741923954372623,0.874,0.85484,0.89498,0.8428,0.9066,2.598250950570344,-0.016407874899907436,257,6,0
independent_reestimate,940006,30,makespan,263,0.8558380228136881,0.8586,0.7962600000000001,0.8858,0.792,0.9058,4.424714828897341,-2.1803063479728233,260,3,0
independent_reestimate,940006,100,cost,263,0.8569688212927756,0.8554,0.8408,0.88478,0.8246,0.9006,4.303574144486695,-0.5680151130999141,262,1,0
independent_reestimate,940006,100,emission,263,0.8645482889733841,0.8636,0.8524200000000001,0.88056,0.8424,0.8888,3.545171102661599,-0.022286894591703153,263,0,0
independent_reestimate,940006,100,makespan,263,0.9050661596958175,0.9038,0.8924,0.9192,0.8876,0.9344,0.7472243346007599,0.16917280574637464,91,172,0
independent_reestimate,940006,300,cost,263,0.8638045627376427,0.8636,0.852,0.8746,0.8416,0.8814,3.6195437262357433,-0.48709374808307193,263,0,0
independent_reestimate,940006,300,emission,263,0.89766463878327,0.8978,0.88924,0.9056,0.8818,0.9146,0.4476806083650201,-0.0016125608823081912,183,77,3
independent_reestimate,940006,300,makespan,263,0.8967209125475285,0.9002,0.87202,0.913,0.861,0.9184,1.1034220532319399,-0.22806422545720553,130,132,1
independent_reestimate,940007,30,cost,263,0.9603923954372623,0.9582,0.94726,0.9734,0.9424,0.9786,6.039239543726233,1.461590565737786,0,263,0
