solution_id,objective,stored,replayed,matches
formal-run-01-CCP30-solution-0000,cost,11788562.2349668,11788562.2349668,True
formal-run-01-CCP30-solution-0000,emission,9867569080.716173,9867569080.716173,True
formal-run-01-CCP30-solution-0000,makespan,574.7645130351591,574.7645130351591,True
formal-run-01-CCP30-solution-0001,cost,12157055.011015547,12157055.011015547,True
formal-run-01-CCP30-solution-0001,emission,9276720817.019875,9276720817.019875,True
formal-run-01-CCP30-solution-0001,makespan,574.7027832522273,574.7027832522273,True
formal-run-01-CCP30-solution-0002,cost,11946489.091051433,11946489.091051433,True
formal-run-01-CCP30-solution-0002,emission,10265703767.76069,10265703767.76069,True
formal-run-01-CCP30-solution-0002,makespan,528.5010677514558,528.5010677514558,True
formal-run-01-CCP30-solution-0003,cost,11901409.49039475,11901409.49039475,True
formal-run-01-CCP30-solution-0003,emission,10348641872.269222,10348641872.269222,True
formal-run-01-CCP30-solution-0003,makespan,532.3885269194767,532.3885269194767,True
formal-run-01-CCP30-solution-0004,cost,12312969.880761726,12312969.880761726,True
formal-run-01-CCP30-solution-0004,emission,9357385299.688814,9357385299.688814,True
formal-run-01-CCP30-solution-0004,makespan,553.1831612151473,553.1831612151473,True
formal-run-01-CCP30-solution-0005,cost,11921907.492471393,11921907.492471393,True
formal-run-01-CCP30-solution-0005,emission,9500993251.102613,9500993251.102613,True
formal-run-01-CCP30-solution-0005,makespan,574.7733331840851,574.7733331840851,True
formal-run-01-CCP30-solution-0006,cost,11884247.167108782,11884247.167108782,True
formal-run-01-CCP30-solution-0006,emission,9628127432.001411,9628127432.001411,True
formal-run-01-CCP30-solution-0006,makespan,569.4321537201096,569.4321537201096,True
formal-run-01-CCP30-solution-0007,cost,11819601.57574447,11819601.57574447,True
formal-run-01-CCP30-solution-0007,emission,9898254920.284924,9898254920.284924,True
formal-run-01-CCP30-solution-0007,makespan,562.9002955865794,562.9002955865794,True
formal-run-01-CCP30-solution-0009,cost,12003028.900340475,12003028.900340475,True
formal-run-01-CCP30-solution-0009,emission,10112531721.914612,10112531721.914612,True
formal-run-01-CCP30-solution-0009,makespan,529.1067539577374,529.1067539577374,True
formal-run-01-CCP30-solution-0010,cost,11823059.936570168,11823059.936570168,True
formal-run-01-CCP30-solution-0010,emission,9986345914.23956,9986345914.23956,True
formal-run-01-CCP30-solution-0010,makespan,536.6461741697174,536.6461741697174,True
formal-run-01-CCP30-solution-0011,cost,12009950.761521388,12009950.761521388,True
formal-run-01-CCP30-solution-0011,emission,9583386788.37928,9583386788.37928,True
formal-run-01-CCP30-solution-0011,makespan,545.7816027559023,545.7816027559023,True
formal-run-01-CCP30-solution-0012,cost,12216402.87082433,12216402.87082433,True
formal-run-01-CCP30-solution-0012,emission,9387483990.836115,9387483990.836115,True
formal-run-01-CCP30-solution-0012,makespan,550.9444389809082,550.9444389809082,True
formal-run-01-CCP30-solution-0013,cost,12192258.003861062,12192258.003861062,True
formal-run-01-CCP30-solution-0013,emission,9308175050.644833,9308175050.644833,True
formal-run-01-CCP30-solution-0013,makespan,556.2109218829078,556.2109218829078,True
formal-run-01-CCP30-solution-0014,cost,12000357.418517381,12000357.418517381,True
formal-run-01-CCP30-solution-0014,emission,9443839087.797522,9443839087.797522,True
formal-run-01-CCP30-solution-0014,makespan,559.81930594366,559.81930594366,True
formal-run-01-CCP30-solution-0015,cost,11984295.283061806,11984295.283061806,True
formal-run-01-CCP30-solution-0015,emission,9600513218.368977,9600513218.368977,True
formal-run-01-CCP30-solution-0015,makespan,541.5757374678153,541.5757374678153,True
formal-run-01-CCP30-solution-0016,cost,11889785.954758704,11889785.954758704,True
formal-run-01-CCP30-solution-0016,emission,9808722032.74006,9808722032.74006,True
formal-run-01-CCP30-solution-0016,makespan,533.1477939747391,533.1477939747391,True
formal-run-01-CCP30-solution-0017,cost,11892176.845920917,11892176.845920917,True
formal-run-01-CCP30-solution-0017,emission,9737362565.613625,9737362565.613625,True
formal-run-01-CCP30-solution-0017,makespan,545.1846669848811,545.1846669848811,True
formal-run-01-CCP30-solution-0019,cost,12276727.43788236,12276727.43788236,True
formal-run-01-CCP30-solution-0019,emission,9368860516.022024,9368860516.022024,True
formal-run-01-CCP30-solution-0019,makespan,552.8716169976149,552.8716169976149,True
