solution_id,S,objective,seeds,mean_coverage,sd_coverage,q90_mean,q90_sd
formal-run-01-CCP30-solution-0000,30,cost,10,0.8652200000000001,0.060555608970414766,11905711.693748664,92112.66064829176
formal-run-01-CCP30-solution-0000,30,emission,10,0.87134,0.03587571756928509,9869418656.678444,2105889.034942197
formal-run-01-CCP30-solution-0000,30,makespan,10,0.8693,0.0488844669717397,568.5538406423946,9.241959774864995
formal-run-01-CCP30-solution-0000,100,cost,10,0.8894400000000001,0.023053136687034816,11925718.689783677,36412.81518352392
formal-run-01-CCP30-solution-0000,100,emission,10,0.89164,0.031080082939972272,9870595305.669048,1947323.250938442
formal-run-01-CCP30-solution-0000,100,makespan,10,0.8846399999999999,0.020335584574828414,572.4913954372645,0.4674385297305507
formal-run-01-CCP30-solution-0000,300,cost,10,0.89666,0.01637506234084825,11935207.940052118,27856.480580874817
formal-run-01-CCP30-solution-0000,300,emission,10,0.893,0.01971891365049191,9870612366.4613,1221734.4486803475
formal-run-01-CCP30-solution-0000,300,makespan,10,0.90312,0.010539744884114707,572.9445550631838,0.30472380749993516
formal-run-01-CCP30-solution-0001,30,cost,10,0.8924000000000001,0.06962355923105337,12323337.502135392,139839.5332891617
formal-run-01-CCP30-solution-0001,30,emission,10,0.8755000000000001,0.04295271301740503,9278239180.35202,2483050.0129470723
formal-run-01-CCP30-solution-0001,30,makespan,10,0.8765600000000001,0.06531073078411812,568.2852559550189,15.768211217213937
formal-run-01-CCP30-solution-0001,100,cost,10,0.90434,0.031085409224693616,12319806.524853595,66527.91895786763
formal-run-01-CCP30-solution-0001,100,emission,10,0.8956999999999999,0.022658675061784962,9279329042.6356,1435928.4357749464
formal-run-01-CCP30-solution-0001,100,makespan,10,0.9040399999999998,0.026412926128444505,573.7544384710552,3.0465539955136896
formal-run-01-CCP30-solution-0001,300,cost,10,0.8996600000000001,0.02112314160136013,12305386.87484793,44260.00585601232
formal-run-01-CCP30-solution-0001,300,emission,10,0.8920800000000002,0.019777922596223855,9279124836.293207,1250420.1986281746
formal-run-01-CCP30-solution-0001,300,makespan,10,0.8953800000000001,0.0173167741414695,572.93611557985,0.9431350615537825
formal-run-01-CCP30-solution-0002,30,cost,10,0.88304,0.0606845980825814,12051363.31526438,123934.07693294625
formal-run-01-CCP30-solution-0002,30,emission,10,0.86988,0.046045117970191916,10267045388.673094,2598498.0409904555
formal-run-01-CCP30-solution-0002,30,makespan,10,0.8777999999999999,0.05071208490641609,554.1969403312363,19.733439623910048
formal-run-01-CCP30-solution-0002,100,cost,10,0.8932,0.0292637052412104,12050986.694649318,54584.31434297711
formal-run-01-CCP30-solution-0002,100,emission,10,0.8882000000000001,0.025822642949335967,10268023528.899317,1633683.054388964
formal-run-01-CCP30-solution-0002,100,makespan,10,0.8950000000000001,0.026063512170593307,559.1990969291537,13.76522668312081
formal-run-01-CCP30-solution-0002,300,cost,10,0.89944,0.02044478743673637,12060319.180277633,40253.60938553471
formal-run-01-CCP30-solution-0002,300,emission,10,0.89408,0.019882812231226815,10268343367.180098,1245534.777626141
formal-run-01-CCP30-solution-0002,300,makespan,10,0.8987200000000002,0.013180187150922165,562.8049786237203,6.8996758277048365
formal-run-01-CCP30-solution-0003,30,cost,10,0.87676,0.07097510048523277,11978277.920363003,103583.15107267922
formal-run-01-CCP30-solution-0003,30,emission,10,0.8711399999999999,0.04375264309476375,10349502316.002691,2510374.1621494894
formal-run-01-CCP30-solution-0003,30,makespan,10,0.8771000000000001,0.04668421098782282,557.9836776710084,17.159635744262957
formal-run-01-CCP30-solution-0003,100,cost,10,0.8880800000000001,0.03663916544415885,11981786.936107703,57870.67572709269
formal-run-01-CCP30-solution-0003,100,emission,10,0.8930200000000001,0.025645350455784394,10350674999.03509,1687049.3249571878
