S,objective,seeds,mean_coverage,sd_seed_mean_coverage,min_seed_mean_coverage,max_seed_mean_coverage,mean_absolute_gap_pp
30,cost,10,0.881700836501901,0.05713538521663801,0.7957832699619771,0.9603923954372623,5.246114068441065
30,emission,10,0.8718910266159696,0.03678065913548557,0.8080806083650189,0.9149087452471483,3.405817490494298
30,makespan,10,0.880137566539924,0.04025468115480202,0.8018273764258556,0.9251840304182509,3.9479771863117876
100,cost,10,0.8968443346007604,0.023776640659780295,0.8569688212927756,0.9284920152091255,2.305939163498099
100,emission,10,0.8886512547528517,0.02338006811003915,0.8496144486692015,0.9235505703422053,2.1083193916349816
100,makespan,10,0.894627072243346,0.013821996583446301,0.8618114068441065,0.9112167300380227,1.6185095057034224
300,cost,10,0.8976629657794677,0.017981831285319043,0.8638045627376427,0.9313330798479087,1.5198022813688215
300,emission,10,0.8930193155893535,0.01559973995594091,0.8655186311787072,0.9142311787072244,1.4044866920152101
300,makespan,10,0.9035174144486691,0.00621987003228831,0.8924570342205322,0.9110684410646387,0.9909049429657791
