view,metric,preferred_direction,paired_difference_definition,difference_mean,difference_median,EV_wins,ties,CCP30_wins,wilcoxon_statistic,raw_p_value,matched_pairs_rank_biserial_EV_minus_CCP30,cohen_dz,holm_adjusted_p_value,reject_at_0.05
OOS-MEAN,hypervolume,higher,EV minus CCP30,-0.10919513596305448,-0.11477590418404887,7,0,23,85.0,0.001718590036034584,-0.6344086021505376,-0.6283083233697349,0.012030130252242088,True
OOS-MEAN,igd_plus,lower,EV minus CCP30,0.05469499809091462,0.03579444985745839,4,0,26,45.0,3.049522638320923e-05,0.8064516129032258,0.8630620484136431,0.00024396181106567383,True
OOS-MEAN,spacing,lower,EV minus CCP30,0.0015395297442106022,0.000958158185924058,12,0,18,177.0,0.2621222734451294,0.23870967741935484,0.23164001024270897,0.7863668203353882,False
OOS-MEAN,nondominated_size,descriptive,EV minus CCP30,10.933333333333334,16.0,18,1,11,164.5,0.16492599828601018,0.2942528735632184,0.23676106939041697,0.6597039931440407,False
OOS-Q90,hypervolume,higher,EV minus CCP30,-0.08835788358253606,-0.08431977553185488,9,0,21,138.0,0.052263347432017326,-0.4064516129032258,-0.3958540720830832,0.26131673716008663,False
OOS-Q90,igd_plus,lower,EV minus CCP30,0.04237436384636188,0.028125470692807297,9,0,21,119.0,0.018529480323195457,0.4881720430107527,0.4767660076419319,0.11117688193917274,False
OOS-Q90,spacing,lower,EV minus CCP30,0.0014547647407016893,0.0013496215523342474,10,0,20,178.0,0.2710056286305189,0.23440860215053763,0.17330744164635006,0.7863668203353882,False
OOS-Q90,nondominated_size,descriptive,EV minus CCP30,8.166666666666666,12.5,17,0,13,187.0,0.34928184242057525,0.1956989247311828,0.18347760548934083,0.7863668203353882,False
