generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
27,0.0,0.0,13.647869938537303,0.0,0.0,0.0,0.22,0.0,0.22,0.0,11733640.603422506,14921311159.190054,460.77714285714285,11733640.603422506,0.0,14921311159.190054,0.0,460.77714285714285,0.0,0
28,0.0,0.0,13.647869938537303,0.0,0.0,0.0,0.35333333333333333,0.0,0.35333333333333333,0.0,11718947.076217351,14792645763.149225,460.77714285714285,11718947.076217351,0.0,14792645763.149225,0.0,460.77714285714285,0.0,0
29,0.0,0.0,13.647869938537303,0.0,0.0,0.0,0.5333333333333333,0.0,0.5333333333333333,0.0,11585085.111872315,14371189709.157494,460.77714285714285,11585085.111872315,0.0,14371189709.157494,0.0,460.77714285714285,0.0,0
30,0.0,0.0,6.491266936726532,0.0,3.3872867620965414,0.0,0.8066666666666666,0.0,0.8066666666666666,0.0,11585085.111872315,14371189709.157494,460.77714285714285,11585085.111872315,0.0,14371189709.157494,0.0,460.77714285714285,0.0,0
31,0.0,0.0,6.491266936726532,0.0,3.3872867620965414,0.0,1.0,0.0,1.0,0.0,11577013.828417707,14371189709.157494,460.77714285714285,11577013.828417707,0.0,14371189709.157494,0.0,460.77714285714285,0.0,0
32,0.0,0.0,6.491266936726532,0.0,3.3872867620965414,0.0,1.0,0.0,1.0,0.0,11577013.828417707,14371189709.157494,460.77714285714285,11577013.828417707,0.0,14371189709.157494,0.0,460.77714285714285,0.0,0
33,0.0,0.0,6.491266936726532,0.0,3.3872867620965414,0.0,1.0,0.0,1.0,0.0,11577013.828417707,14226215778.936235,460.77714285714285,11577013.828417707,0.0,14226215778.936235,0.0,460.77714285714285,0.0,0
34,0.0,0.0,6.491266936726532,0.0,3.3872867620965414,0.0,1.0,0.0,1.0,0.0,11575228.183485964,14222906053.348461,460.77714285714285,11575228.183485964,0.0,14222906053.348461,0.0,460.77714285714285,0.0,0
35,0.0,0.0,5.709835742732607,0.0,0.40012587386282855,0.0,1.0,0.0,1.0,0.0,11545173.313482774,14168787523.977371,460.77714285714285,11545173.313482774,0.0,14168787523.977371,0.0,460.77714285714285,0.0,0
36,0.0,0.0,5.709835742732607,0.0,0.40012587386282855,0.0,1.0,0.0,1.0,0.0,11516939.214220598,14168787523.977371,460.77714285714285,11516939.214220598,0.0,14168787523.977371,0.0,460.77714285714285,0.0,0
37,0.0,0.0,5.709835742732607,0.0,0.40012587386282855,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
38,0.0,0.0,5.709835742732607,0.0,0.40012587386282855,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
39,0.0,0.0,5.709835742732607,0.0,0.40012587386282855,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
40,0.0,0.0,1.9527541890082325,0.0,0.7320835101495241,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
41,0.0,0.0,1.9527541890082325,0.0,0.7320835101495241,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
42,0.0,0.0,1.9527541890082325,0.0,0.7320835101495241,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
43,0.0,0.0,1.9527541890082325,0.0,0.7320835101495241,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
44,0.0,0.0,1.9527541890082325,0.0,0.7320835101495241,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
45,0.0,0.0,1.9527541890082325,0.0,0.8974813765882195,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
46,0.0,0.0,1.9527541890082325,0.0,0.8974813765882195,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
47,0.0,0.0,1.9527541890082325,0.0,0.8974813765882195,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
48,0.0,0.0,1.9527541890082325,0.0,0.8974813765882195,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
49,0.0,0.0,1.9527541890082325,0.0,0.8974813765882195,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
