candidate,candidate_name,candidate_label,level,runs,cost_delta_rel_mean,time_delta_rel_mean,emission_delta_rel_mean,on_time_drop_mean,late_h_per_teu_delta_mean,p95_lateness_delta_h_mean,route_change_ratio_mean,infeasible_teu_mean,feasible_ratio_mean,runtime_s_mean,kpi_score,kpi_material,decision_material,retain_for_refined_screening,screening_class
C1,line_haul_travel_time,Line-haul travel time uncertainty,high,3,0.04389538057706013,0.0002948862984264317,0.06024880190369539,-0.0013592717296421937,0.575608126468672,0.0,0.8720004782233698,0.0,0.3333333333333333,13.926883369373778,0.04389538057706013,True,True,True,core_decision_relevant
C1,line_haul_travel_time,Line-haul travel time uncertainty,low,3,-0.0046181711287121155,0.0005535901376863372,-0.026788662467111993,0.021074857796824092,0.4228476402345496,0.021318251816902983,0.829227272997416,0.0,0.0,12.896114308697483,0.021074857796824092,False,True,True,strategy_shift
C1,line_haul_travel_time,Line-haul travel time uncertainty,medium,3,0.050269591214507435,0.02252381743365114,0.06805762175091391,0.01436588103254773,0.5431557334988885,0.0,0.9099945444643348,0.0,0.07037037037037037,13.6851138950636,0.050269591214507435,True,True,True,core_decision_relevant
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,high,3,0.015408851858610781,-0.00819383457207822,0.022789819432946428,0.0018534364369025742,0.12869877956901415,0.0,0.8846245371130808,0.0,0.3333333333333333,12.99282683354492,0.015408851858610781,False,True,True,strategy_shift
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,low,3,0.02027332506062648,0.007402951409034217,0.028374005248321423,0.0303778526000746,0.18909497087274826,0.49571428571427606,0.8643645550932902,0.0,0.3333333333333333,12.71497109051173,0.0303778526000746,True,True,True,core_decision_relevant
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,medium,3,0.01636960623756101,0.002735349661287576,0.04299866857789658,-0.008529741863075202,0.06515226337448553,0.0,0.8494424331085179,0.0,0.6666666666666666,13.354069507836053,0.01636960623756101,False,True,True,strategy_shift
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,high,3,-0.0035596689531192083,0.00010857254919528004,-0.006862297998399977,0.006492566266228812,0.0523126008270044,0.0,0.8551435529519654,0.0,0.0,13.747757288782546,0.006492566266228812,False,True,True,strategy_shift
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,low,3,-0.010538500814510583,0.0020459139738977987,-0.017442907312005523,-0.001421623643845793,0.14941392763614975,0.0,0.8300651985399475,0.0,0.3333333333333333,13.525338219013065,0.010538500814510583,False,True,True,strategy_shift
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,medium,3,-0.010374484856421727,-0.0018769479442126867,-0.021194679078900117,0.006883651328095912,0.06821420554753883,0.0,0.827866601329497,0.0,0.0,13.546403677978864,0.010374484856421727,False,True,True,strategy_shift
C4,capacity_slot_availability,Service capacity and slot availability uncertainty,high,3,0.024232762777543135,0.06723643504749034,0.008362016215372988,0.055853594312402145,0.6174806231132982,1.7497222222222415,0.8887617961682647,0.0,0.0,13.665071918008229,0.06723643504749034,True,True,True,core_decision_relevant
C4,capacity_slot_availability,Service capacity and slot availability uncertainty,low,3,0.008871291535354398,-0.005026230449307126,0.021292049653507117,0.0022363853357301546,0.08389976410460419,0.0,0.8366791147052072,0.0,0.0,12.636909968685359,0.008871291535354398,False,True,True,strategy_shift
C4,capacity_slot_availability,Service capacity and slot availability uncertainty,medium,3,0.028788839284126455,0.006284399685411098,0.0202408426122508,0.04878668163768485,0.6282495632008452,0.5322619047619052,0.8863587300599977,0.0,0.0,12.911568089853972,0.04878668163768485,True,True,True,core_decision_relevant
C5,shipment_volume,Shipment volume uncertainty,high,3,0.2286248611596056,-0.011290866537872419,0.22359583220702262,0.008899379206168642,0.21469005305767017,0.0,0.862608113000901,0.0,0.0,13.0904201491115,0.2286248611596056,True,True,True,core_decision_relevant
C5,shipment_volume,Shipment volume uncertainty,low,3,0.06397589752183437,0.015249184179079597,0.08916212204613201,0.005204742275757512,0.18357907530168072,0.0,0.8454390604742699,0.0,0.3333333333333333,12.845348538675657,0.06397589752183437,True,True,True,core_decision_relevant
C5,shipment_volume,Shipment volume uncertainty,medium,3,0.18041456661128955,0.0019125733119174234,0.237450541483921,-0.012259557831490131,-0.01885844129140383,0.0,0.8817268384581594,0.0,0.6666666666666666,13.73393917363137,0.18041456661128955,True,True,True,core_decision_relevant
C6,corridor_link_node_disruption,Corridor/link/node disruption uncertainty,high,3,0.0532462225526975,0.008482230405878135,-0.05455947556228132,0.1376893159724852,2.721951526217488,16.777301587301583,0.8158369873621281,0.0,0.0,10.970257448808601,0.1376893159724852,True,True,True,core_decision_relevant
C6,corridor_link_node_disruption,Corridor/link/node disruption uncertainty,low,3,0.013927547489047077,0.007419576580629683,0.02797067905142958,0.019640852974186423,0.18388274277163144,0.024761904761912017,0.8399189081483004,0.0,0.0,12.485805084618429,0.019640852974186423,False,True,True,strategy_shift
C6,corridor_link_node_disruption,Corridor/link/node disruption uncertainty,medium,3,0.025522904253674445,0.008931958261997816,-0.12886970524149147,0.07624392068836505,2.73787982113908,18.097142857142842,0.8239326036062969,0.0,0.2333333333333333,9.782006476074457,0.11407832588079499,True,True,True,core_decision_relevant
