candidate,candidate_name,candidate_label,level,seed,route_change_ratio,cost,emission_gCO2,time_h,penalty,feasible,total_teu,on_time_rate,infeasible_teu,late_teu_h,late_h_per_teu,p90_lateness_h,p95_lateness_h,max_border_util,border_cap_excess,arc_cap_excess,runtime_s,wall_s,pareto_size,final_feasible_ratio,final_feasible_ratio_strict,boost_gens_triggered,boost_new_feasible_total,scenario_params_json,cost_delta_rel,time_delta_rel,emission_delta_rel,on_time_drop,late_h_per_teu_delta,p95_lateness_delta_h
baseline,baseline,Baseline,baseline,2026,0.0,11552784.623508433,14346291315.191372,467.83142857142855,0.0,True,4455.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9871913580246914,0.0,0.0,12.909376678988338,13.032934586983174,1,1.0,1.0,33,4,"{""baseline"": true}",0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,Baseline,baseline,7,0.0,11698545.30133146,14810179017.71008,467.83142857142855,9062857.142859798,False,4455.0,0.9726150392817059,0.0,9.062857142859798,0.002034311367645297,0.0,0.0,0.9998330078977815,0.0,0.0,12.102313313167542,12.220278328284621,0,0.0,0.0,50,0,"{""baseline"": true}",0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,Baseline,baseline,99,0.0,11384323.94070135,13768755693.342451,467.83142857142855,246334285.7142835,False,4455.0,0.9804713804713805,0.0,246.3342857142835,0.0552938912938908,0.0,0.0,0.9661478542034098,0.0,0.0,13.49240491585806,13.610052455682307,0,0.0,0.0,50,0,"{""baseline"": true}",0.0,0.0,0.0,0.0,0.0,0.0
C1,line_haul_travel_time,Line-haul travel time uncertainty,low,2026,0.8725476170792947,11591864.548764579,13994987012.967682,468.06787898184336,2467450331.242025,False,4455.0,0.9356530921538599,0.0,2467.4503312420247,0.5538609048803647,0.0,0.06395475545070894,0.9724509869500328,0.0,0.0,14.607527652289718,14.727436317130923,0,0.0,0.0,50,0,"{""candidate"": ""C1"", ""level"": ""low"", ""mean_multiplier"": 1.038740180325979, ""time_spread"": 0.08}",0.003382727760424399,0.0005054179688971386,-0.024487464704671922,0.06434690784614006,0.5538609048803647,0.06395475545070894
C1,line_haul_travel_time,Line-haul travel time uncertainty,low,7,0.7826949450699744,11445079.06794337,14194193866.101683,468.09888806329474,2120319235.3975863,False,4455.0,0.9815937149270483,0.0,2120.3192353975865,0.47594146698037854,0.0,0.0,0.9863011489957995,0.0,0.0,12.45115695381537,12.568477550987154,0,0.0,0.0,50,0,"{""candidate"": ""C1"", ""level"": ""low"", ""mean_multiplier"": 1.040412142973056, ""time_spread"": 0.08}",-0.0216664744939905,0.0005717005646305254,-0.04159201255243429,-0.008978675645342382,0.4739071556127332,0.0
C1,line_haul_travel_time,Line-haul travel time uncertainty,low,99,0.8324392568429789,11434747.767937448,13572048225.456093,468.1044792640181,1318986287.952288,False,4455.0,0.9726150392817059,0.0,1318.986287952288,0.29606875150444173,0.0,0.0,0.97180756600923,0.0,0.0,11.629658319987357,11.768224080093205,0,0.0,0.0,50,0,"{""candidate"": ""C1"", ""level"": ""low"", ""mean_multiplier"": 1.0396439200428613, ""time_spread"": 0.08}",0.004429233347429752,0.0005836518795313477,-0.014286510144229766,0.007856341189674598,0.24077486021055095,0.0
C1,line_haul_travel_time,Line-haul travel time uncertainty,medium,2026,0.8991700267420432,12047570.901231147,15002938400.031317,477.2272065873063,5556395022.731317,False,4455.0,0.9501683501683502,0.0,5556.395022731316,1.2472267166624729,0.0,0.0,0.9995881958279696,0.0,0.0,13.392236493062228,13.510784749872983,0,0.0,0.0,50,0,"{""candidate"": ""C1"", ""level"": ""medium"", ""mean_multiplier"": 1.0909657079973494, ""time_spread"": 0.18}",0.042828313159745744,0.020083682801236152,0.0457712080713583,0.04983164983164978,1.2472267166624729,0.0
C1,line_haul_travel_time,Line-haul travel time uncertainty,medium,7,0.9029498133198856,12335331.79192557,15932283442.414894,459.5938050345231,1958278498.338471,False,4455.0,0.9598204264870932,0.0,1958.2784983384709,0.4395686864957286,0.0,0.0,0.9636935842946771,0.0,0.0,14.080598831176758,14.202328098937869,0,0.0,0.0,50,0,"{""candidate"": ""C1"", ""level"": ""medium"", ""mean_multiplier"": 1.0882019792127404, ""time_spread"": 0.18}",0.0544329636028878,-0.01760810205090302,0.07576575700827096,0.012794612794612692,0.4375343751280833,0.0
C1,line_haul_travel_time,Line-haul travel time uncertainty,medium,99,0.9278637933310759,11993925.991407083,14906549214.325472,498.28532315305745,0.0,True,4455.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.9838544513898669,0.0,0.0,13.582506360951811,13.701312265824527,2,0.2111111111111111,0.2111111111111111,47,3,"{""candidate"": ""C1"", ""level"": ""medium"", ""mean_multiplier"": 1.0891721947180575, ""time_spread"": 0.18}",0.05354749688088876,0.06509587155062029,0.08263590017311247,-0.019528619528619284,-0.0552938912938908,0.0
C1,line_haul_travel_time,Line-haul travel time uncertainty,high,2026,0.8652048905872839,11807432.816543177,15301276046.091413,469.42132110870705,0.0,True,4455.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.9448484336686264,0.0,0.0,12.352839512284845,12.493078593164682,3,1.0,1.0,24,7,"{""candidate"": ""C1"", ""level"": ""high"", ""mean_multiplier"": 1.1482053308127358, ""time_spread"": 0.3}",0.022042148393952358,0.0033984303750891685,0.06656666241600731,-2.220446049250313e-16,0.0,0.0
