solution_id,decision_fingerprint,seed,S,objective,histogram_bins,histogram_smoothing,js_distance,js_divergence,wasserstein,wasserstein_normalized,wasserstein_scale,wasserstein_scale_basis,ks_statistic,kl_sample_to_oos,kl_oos_to_sample,symmetric_kl,sample_mean,oos_mean,mean_signed_error_pct,q90_reestimate,q90_oos,signed_error,signed_error_pct,coverage,exceedance,coverage_gap_pp,absolute_coverage_gap_pp
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,940001,30,cost,20,0.5,0.2535548757238528,0.06429007500333846,42990.85115084194,0.15970563748368088,269188.0626645684,oos_iqr,0.19273333333333337,0.314977442169595,0.29322395438445736,0.3041006982770262,11657805.682847772,11656386.000898356,0.012179434940699122,11806390.41437257,11937224.557427725,-130834.14305515401,-1.0960181106230829,0.7892,0.2108,-11.080000000000002,11.080000000000002
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,940001,30,emission,20,0.5,0.23262938866143001,0.054116432468990665,2201939.882808652,0.2151133176905254,10236185.77617073,oos_iqr,0.22066666666666665,0.24665463861618853,0.21987005868585732,0.2332623486510229,9857222964.882803,9859055760.104015,-0.018589967090246486,9870842068.874496,9871117948.166279,-275879.29178237915,-0.0027948130417550956,0.8954,0.10460000000000003,-0.46000000000000485,0.46000000000000485
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,940001,30,makespan,20,0.5,0.2530835533371021,0.0640512849697338,7.658346283208296,0.1555212942304939,49.24307196066712,oos_iqr,0.11420000000000008,0.3474250894237846,0.28506090248648,0.3162429959551323,517.9998326418447,517.1822035547532,0.15809304370330238,573.373727111671,572.8550476120045,0.5186794996665185,0.09054288721530492,0.9186,0.08140000000000003,1.859999999999995,1.859999999999995
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,940001,100,cost,20,0.5,0.1780242962326959,0.03169265004914666,24398.284936192318,0.09063657836341238,269188.0626645684,oos_iqr,0.09940000000000002,0.1459500287875798,0.1272129404644188,0.13658148462599928,11652273.503592297,11656386.000898356,-0.03528106658222569,11871120.631852364,11937224.557427725,-66103.92557536066,-0.55376293926069,0.8538,0.1462,-4.620000000000002,4.620000000000002
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,940001,100,emission,20,0.5,0.1747663003876387,0.03054325975118237,1013646.696839066,0.09902582065272583,10236185.77617073,oos_iqr,0.094,0.1291056942472965,0.1261951643100198,0.12765042927865816,9858895907.169868,9859055760.104015,-0.0016213817837783951,9872612097.31177,9871117948.166279,1494149.1454906464,0.01513657473587588,0.924,0.07599999999999996,2.400000000000002,2.400000000000002
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,940001,100,makespan,20,0.5,0.17713750662610234,0.03137769625371245,5.582544013222309,0.11336709492213165,49.24307196066712,oos_iqr,0.07779999999999998,0.15759601502768125,0.11899321837266652,0.1382946167001739,515.5694147020178,517.1822035547532,-0.31184152154699796,572.9220454933262,572.8550476120045,0.066997881321754,0.011695433530880182,0.9036,0.09640000000000004,0.35999999999999366,0.35999999999999366
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,940001,300,cost,20,0.5,0.07992123968587822,0.006387404552927595,14394.354209255009,0.05347322636365052,269188.0626645684,oos_iqr,0.036733333333333396,0.029500178479352844,0.023495304394461524,0.026497741436907182,11649223.641880222,11656386.000898356,-0.06144579475647041,11919452.865988929,11937224.557427725,-17771.691438796,-0.14887624299350122,0.8888,0.11119999999999997,-1.1199999999999988,1.1199999999999988
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,940001,300,emission,20,0.5,0.09623887282174086,0.00926192064199921,911466.598878749,0.08904357724735637,10236185.77617073,oos_iqr,0.0782,0.038771012838845646,0.037666015265386266,0.03821851405211596,9858173397.092583,9859055760.104015,-0.00894977199544045,9870562697.74242,9871117948.166279,-555250.4238586426,-0.0056250003978707335,0.892,0.10799999999999998,-0.8000000000000007,0.8000000000000007
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,940001,300,makespan,20,0.5,0.08894964001751673,0.007912038459245815,3.14003631841579,0.06376605263221377,49.24307196066712,oos_iqr,0.05820000000000003,0.03707668302768907,0.029334688566827,0.033205685797258036,515.4397720228073,517.1822035547532,-0.33690864070139487,572.750911589221,572.8550476120045,-0.10413602278345024,-0.01817842458010106,0.8956,0.10440000000000005,-0.44000000000000705,0.44000000000000705
formal-run-01-CCP30-solution-0001,b2613fff54ca503d147adb3771dc151860deac6ba694a5fa2135d6edb22e8093,940001,30,cost,20,0.5,0.23800253541628003,0.05664520686457763,63905.9776963934,0.1816554441166297,351797.75650083646,oos_iqr,0.19253333333333336,0.30570675164471517,0.2163701549178053,0.26103845328126024,11984422.1949892,11930305.392752346,0.45360785374137164,12420316.609745441,12300554.830207704,119761.77953773737,0.9736290857679556,0.9428,0.05720000000000003,4.279999999999995,4.279999999999995
