replicate,method,sample_size,optimisation_runtime_seconds,candidate_count,oos_mean_hypervolume,oos_mean_igd_plus,oos_mean_metric_front_size,oos_q90_hypervolume,oos_q90_igd_plus,oos_q90_metric_front_size,cost_mean_coverage,cost_median_coverage,cost_mean_absolute_coverage_gap_pp,cost_median_q90_absolute_error_pct,cost_solutions_at_or_above_nominal_fraction,emission_mean_coverage,emission_median_coverage,emission_mean_absolute_coverage_gap_pp,emission_median_q90_absolute_error_pct,emission_solutions_at_or_above_nominal_fraction,makespan_mean_coverage,makespan_median_coverage,makespan_mean_absolute_coverage_gap_pp,makespan_median_q90_absolute_error_pct,makespan_solutions_at_or_above_nominal_fraction,all_objectives_mean_absolute_coverage_gap_pp
4,CCP100,100,69.55768791725859,59,1.1452758463393828,0.024542274317247478,24,1.3739847449764575,0.0,34,0.8426406779661018,0.842,5.735932203389835,0.8069503815445113,0.0,0.8046983050847457,0.8042,9.53016949152543,0.058447923368817704,0.0,0.8747999999999999,0.8722,2.586440677966102,1.407020099489069,0.13559322033898305,5.950847457627121
4,CCP300,300,78.85374203138053,64,0.6542627288376732,0.16330942701258114,44,0.7854403865051482,0.23957590462863465,37,0.85565625,0.855,4.434375000000001,0.5047669759705932,0.0,0.88005,0.8832,1.9962500000000014,0.009147087476844645,0.015625,0.8946406250000001,0.8914,1.1809374999999998,0.5823104938664205,0.359375,2.5371875000000013
5,CCP100,100,68.42978639528155,24,0.4713830954344563,0.27093199212600133,20,0.5954120438826387,0.3664662690104053,18,0.9171916666666666,0.9164,1.7491666666666645,0.2599521392397051,0.9583333333333334,0.8642583333333334,0.8643000000000001,3.574166666666669,0.01205299466444069,0.0,0.8970666666666666,0.8977999999999999,0.5683333333333355,0.16304098881836543,0.2916666666666667,1.9638888888888895
5,CCP300,300,78.71796271437779,29,0.4249237536857946,0.3495581181117249,24,0.537102436317944,0.4417139004908081,24,0.8984068965517241,0.8966,0.6462068965517249,0.08146292092623614,0.3448275862068966,0.9127448275862068,0.9126,1.2744827586206875,0.0069966425338735495,1.0,0.8957999999999999,0.8972,0.7744827586206916,0.12335777032873285,0.2413793103448276,0.8983908045977015
