replicate,algorithm_seed,training_seed,CCP30_runtime,CCP50_runtime,runtime_delta,CCP30_candidates,CCP50_candidates,CCP30_HV,CCP50_HV,HV_delta,CCP30_IGD_plus,CCP50_IGD_plus,IGD_plus_delta,CCP30_cost_median_APE,CCP50_cost_median_APE,cost_median_APE_delta,CCP30_makespan_median_APE,CCP50_makespan_median_APE,makespan_median_APE_delta
1,871001,872001,981.9048613000195,1001.8141503641382,19.90928906411864,281,262,1.1137802915710229,1.1799034556602228,0.06612316408919994,0.020501439505100964,0.03112339713892544,0.010621957633824477,0.24902431272704678,0.1004647558675405,-0.14855955685950628,0.9749878891484864,0.9505136780427952,-0.024474211105691257
2,871002,872002,967.0497300289571,975.1056525169406,8.05592248798348,261,259,0.9246197059713805,1.3513634953284492,0.4267437893570687,0.16797088021174586,5.078764658103272e-05,-0.16792009256516482,1.4112054722948768,0.891899060492531,-0.5193064118023458,3.1608752646494596,1.7618993793487236,-1.398975885300736
3,871003,872003,979.2675984888338,969.7574016081635,-9.510196880670264,278,274,1.017285346321464,0.41864358510264493,-0.5986417612188191,0.0,0.35763792878962714,0.35763792878962714,0.5646495206296065,1.0532362417471908,0.4885867211175843,3.9344447820623945,4.08342374474927,0.1489789626868756
4,871004,872004,972.2116129118949,980.8241914261598,8.612578514264897,261,276,1.3176605613072248,0.9645315683095352,-0.3531289929976895,0.00065020600268929,0.09692522067534921,0.09627501467265992,0.39527254678347357,0.4601954504378932,0.06492290365441966,4.304928062390599,5.30274303999914,0.9978149776085417
5,871005,872005,999.4077425329015,992.7745596400928,-6.633182892808691,282,273,1.344058451445981,1.3430253443094573,-0.0010331071365237143,0.007361130563890463,0.03185681133768805,0.024495680773797587,1.5488135184334029,1.2611660392827717,-0.28764747915063116,7.889537268474027,7.515252469051183,-0.37428479942284376
