seed,S,variable,mode,empirical_mean,empirical_std,empirical_cv,configured_cv,n
42,50,travel_multiplier,road,0.9998226381018163,0.15017108014835037,0.15019771950098393,0.15,40500
42,50,travel_multiplier,rail,1.0013183826212042,0.10041951944660053,0.10028730240997577,0.1,6400
42,50,travel_multiplier,water,0.9935354932326159,0.1980221832687551,0.19931062817339357,0.2,2000
42,50,border_delay_multiplier_normalized,road,1.0001929462437482,0.44410349628910845,0.4440178247176719,0.45,12400
42,50,border_delay_multiplier_normalized,rail,0.9806025685964723,0.5562540177253362,0.5672573533245967,0.6,500
42,100,travel_multiplier,road,0.9998383998040431,0.15021829408554127,0.15024257331483,0.15,81000
42,100,travel_multiplier,rail,1.0005036037116517,0.09997178937037443,0.09992146854794,0.1,12800
42,100,travel_multiplier,water,0.9974937910123154,0.19997834797916259,0.20048079474882025,0.2,4000
42,100,border_delay_multiplier_normalized,road,1.0013184504401758,0.4479095019724527,0.44731973307348266,0.45,24800
42,100,border_delay_multiplier_normalized,rail,0.9846970066829375,0.5626425317583639,0.5713864548585239,0.6,1000
42,200,travel_multiplier,road,1.0000229744498412,0.15070139388644513,0.15069793168437248,0.15,162000
42,200,travel_multiplier,rail,1.0002050120361847,0.09989198631747648,0.09987151145555613,0.1,25600
42,200,travel_multiplier,water,0.9970483036354757,0.20004311195910982,0.20063532652300292,0.2,8000
42,200,border_delay_multiplier_normalized,road,1.0006984279146964,0.44583622811741186,0.4455250609781279,0.45,49600
42,200,border_delay_multiplier_normalized,rail,0.9844585550377825,0.5588285895245194,0.5676507016621661,0.6,2000
43,50,travel_multiplier,road,0.9987048580987941,0.14891451870415295,0.1491076342490586,0.15,40500
43,50,travel_multiplier,rail,0.999172208104026,0.10031576394230277,0.10039887331599867,0.1,6400
43,50,travel_multiplier,water,0.997179672875807,0.19735307133302749,0.1979112457877054,0.2,2000
43,50,border_delay_multiplier_normalized,road,1.0004255082053906,0.4462148749838469,0.4460250876492421,0.45,12400
43,50,border_delay_multiplier_normalized,rail,0.9629744193519008,0.5248386703784438,0.545018288992214,0.6,500
43,100,travel_multiplier,road,0.9993182784987346,0.1489262478614101,0.14902784334650662,0.15,81000
43,100,travel_multiplier,rail,0.9999538043952515,0.1004639869038513,0.10046862811288523,0.1,12800
43,100,travel_multiplier,water,1.000701321315537,0.2001829029211635,0.20004260877561356,0.2,4000
43,100,border_delay_multiplier_normalized,road,0.999472260164278,0.44814149036288137,0.4483781173568766,0.45,24800
43,100,border_delay_multiplier_normalized,rail,0.989697153290361,0.5557438700333545,0.5615292195048966,0.6,1000
43,200,travel_multiplier,road,0.9993226160313636,0.14921445465545674,0.1493155986482484,0.15,162000
43,200,travel_multiplier,rail,0.999605836362642,0.10049274687856632,0.10053237308441351,0.1,25600
43,200,travel_multiplier,water,1.0005800936875717,0.20097409084135873,0.20085757463021478,0.2,8000
43,200,border_delay_multiplier_normalized,road,0.9998696838807316,0.44886589619419326,0.44892439827962194,0.45,49600
43,200,border_delay_multiplier_normalized,rail,0.9831464412237538,0.5611952868121831,0.5708155604099481,0.6,2000
44,50,travel_multiplier,road,1.0007652279058212,0.1503509929311338,0.15023602812994902,0.15,40500
44,50,travel_multiplier,rail,0.998875501891855,0.10024464413377332,0.10035749594810513,0.1,6400
44,50,travel_multiplier,water,1.0072558964687564,0.2023857269250857,0.20092781549813782,0.2,2000
44,50,border_delay_multiplier_normalized,road,1.0013886329660775,0.446371222032375,0.4457522357830639,0.45,12400
44,50,border_delay_multiplier_normalized,rail,0.9807823814354171,0.5444127117939832,0.555080028045785,0.6,500
44,100,travel_multiplier,road,1.0013389166903366,0.15054947962798046,0.1503481759458449,0.15,81000
44,100,travel_multiplier,rail,0.9992076136368502,0.0999764590188455,0.10005574182422185,0.1,12800
44,100,travel_multiplier,water,1.0007347587404585,0.19894201499534808,0.19879594793503508,0.2,4000
44,100,border_delay_multiplier_normalized,road,1.0006961651398083,0.4478353937872242,0.44752384328829387,0.45,24800
44,100,border_delay_multiplier_normalized,rail,0.9934802759549259,0.5726679051275173,0.5764260438659169,0.6,1000
44,200,travel_multiplier,road,1.0002560077796079,0.1503370251808646,0.15029854758341946,0.15,162000
44,200,travel_multiplier,rail,0.9995091079117979,0.09993791911978574,0.09998700194796503,0.1,25600
44,200,travel_multiplier,water,1.0021978346052647,0.19990247116363732,0.19946408210148733,0.2,8000
44,200,border_delay_multiplier_normalized,road,1.0016695846191372,0.4467329648182947,0.4459883495296057,0.45,49600
44,200,border_delay_multiplier_normalized,rail,1.0096572374675323,0.5831567481522789,0.5775789312568876,0.6,2000
45,50,travel_multiplier,road,1.0002669645723323,0.14975218986919497,0.1497122220098732,0.15,40500
