candidate_id,seed,S,ev_cost,ev_emissions,ev_makespan,ev_total_lateness_h,ccp_cost,ccp_emissions,ccp_makespan,ccp_min_on_time_prob,ccp_bottleneck_batch_id,ccp_satisfied_count,ccp_violated_count,ccp_wilson_lo95,ccp_wilson_hi95,ccp_chance_constraint_pass,ccp_feasible_hard,ccp_feasible_soft,ccp_chance_vio,ccp_max_late_excess_h,ccp_penalty,ccp_normalized_violation,cross_validation_ok
reference_1,42,50,11944004.549645137,7820945139.46,561.5807855547584,618.5448476191308,13514370.091763616,7820945139.459999,610.3749952938877,0.0,6,0,50,6.938893903907228e-18,0.07134759913335872,False,False,False,6.66,173.39524549419468,180055245494.19467,0.3748677400686212,True
reference_1,42,100,12008999.844614897,7820945139.459995,558.7687484031146,624.2850843697273,14078726.01544713,7820945139.459999,610.3165720929246,0.0,6,0,100,3.469446951953614e-18,0.03699349820698568,False,False,False,6.6400000000000015,236.13202761782168,242772027617.8217,0.38901606365273983,True
reference_1,42,200,11936253.063157601,7820945139.459996,561.1744165458844,624.9842234689957,13940995.247751364,7820945139.459999,610.593287825645,0.0,6,0,200,1.734723475976807e-18,0.018845326377266575,False,False,False,6.63,328.77503551675636,335405035516.75635,0.4108854969254513,True
reference_1,43,50,12410930.324806262,7820945139.46,572.55905414962,678.1757821488325,14440877.198994244,7820945139.459999,612.5486127454226,0.0,1,0,50,6.938893903907228e-18,0.07134759913335872,False,False,False,6.66,251.40822998081762,258068229980.81763,0.39370463116764887,True
reference_1,43,100,12349146.813340724,7820945139.459995,575.1620174961888,684.3830486288985,14462933.838430427,7820945139.459999,619.8248662348647,0.0,6,0,100,3.469446951953614e-18,0.03699349820698568,False,False,False,6.76,346.5888231146016,353348823114.6016,0.4216867857333337,True
reference_1,43,200,12245617.85231937,7820945139.459996,574.4039469634849,672.9974686224497,14391296.837240085,7820945139.459999,615.2377233082518,0.0,6,0,200,1.734723475976807e-18,0.018845326377266575,False,False,False,6.680000000000001,350.7690225591077,357449022559.1077,0.4186961300396252,True
reference_1,44,50,12083831.91398336,7820945139.46,576.5528955820253,655.7432488330733,14387527.028145306,7820945139.459999,614.5616665612977,0.0,6,0,50,6.938893903907228e-18,0.07134759913335872,False,False,False,6.62,131.6814863662895,138301486366.2895,0.362795602164986,True
reference_1,44,100,12049034.649939813,7820945139.459995,575.787702960739,655.858630374957,13706602.183132002,7820945139.459999,613.184234884888,0.0,6,0,100,3.469446951953614e-18,0.03699349820698568,False,False,False,6.52,133.62104264396874,140141042643.96875,0.3582639243375513,True
reference_1,44,200,12044384.692331862,7820945139.459996,569.6933823252252,642.1900955571216,13760846.405931905,7820945139.459999,612.0574991905403,0.0,6,0,200,1.734723475976807e-18,0.018845326377266575,False,False,False,6.56,412.64354834134247,419203548341.34247,0.4276362545795828,True
reference_1,45,50,11835169.404689277,7820945139.46,567.1968415020955,628.7350522192042,13294165.884646876,7820945139.459999,613.8492646889047,0.0,1,0,50,6.938893903907228e-18,0.07134759913335872,False,False,False,6.74,156.70728089178783,163447280891.78784,0.37483829068979546,True
reference_1,45,100,12028913.143947966,7820945139.459995,569.2462464137136,646.8861130600052,13960017.129680622,7820945139.459999,611.7612183849293,0.0,6,0,100,3.469446951953614e-18,0.03699349820698568,False,False,False,6.69,158.29177086266304,164981770862.66306,0.37272087911690527,True
reference_1,45,200,11993499.436452165,7820945139.459996,569.6842915933418,642.4399592063877,13960017.129680622,7820945139.459999,611.6777821691326,0.0,6,0,200,1.734723475976807e-18,0.018845326377266575,False,False,False,6.644999999999999,635.6230148820019,642268014882.002,0.4857265217631297,True
reference_1,46,50,12592641.550426342,7820945139.46,577.6215941017822,716.6665568738215,15169465.918185249,7820945139.459999,616.7660965665281,0.0,1,0,50,6.938893903907228e-18,0.07134759913335872,False,False,False,6.860000000000001,244.03747895451284,250897478954.51285,0.4019249013532568,True
reference_1,46,100,12211397.809261465,7820945139.459995,569.1902694238305,661.6358874573285,14473095.27080209,7820945139.459999,612.7484965927706,0.0,1,0,100,3.469446951953614e-18,0.03699349820698568,False,False,False,6.74,246.40440128869147,253144401288.69147,0.3964964146537949,True
reference_1,46,200,12147942.414192557,7820945139.459996,565.7134016052117,651.8033829916541,14357804.035061605,7820945139.459999,611.6605789536998,0.0,1,0,200,1.734723475976807e-18,0.018845326377266575,False,False,False,6.74,390.26886820665914,397008868206.6591,0.4312336999170975,True
