S,n_seeds,ev_cost_mean,ev_cost_std,ev_cost_min,ev_cost_max,ev_cost_cv,ev_emissions_mean,ev_emissions_std,ev_emissions_min,ev_emissions_max,ev_emissions_cv,ev_makespan_mean,ev_makespan_std,ev_makespan_min,ev_makespan_max,ev_makespan_cv,ev_total_lateness_h_mean,ev_total_lateness_h_std,ev_total_lateness_h_min,ev_total_lateness_h_max,ev_total_lateness_h_cv,ccp_cost_mean,ccp_cost_std,ccp_cost_min,ccp_cost_max,ccp_cost_cv,ccp_emissions_mean,ccp_emissions_std,ccp_emissions_min,ccp_emissions_max,ccp_emissions_cv,ccp_makespan_mean,ccp_makespan_std,ccp_makespan_min,ccp_makespan_max,ccp_makespan_cv,ccp_min_on_time_prob_mean,ccp_min_on_time_prob_std,ccp_min_on_time_prob_min,ccp_min_on_time_prob_max,ccp_min_on_time_prob_cv,n_seeds_passing_chance_constraint,n_seeds_passing_feasible_hard
50,5,12173315.548710074,285387.017023126,11835169.404689277,12592641.550426342,0.023443655582670458,7820945139.460001,9.5367431640625e-07,7820945139.46,7820945139.46,1.2193849968267347e-16,571.1022341780563,6.004068018017384,561.5807855547584,577.6215941017822,0.01051312297290971,659.5730975388124,35.36861050494669,618.5448476191308,716.6665568738215,0.05362348864276629,14161281.224347059,680614.4981512789,13294165.884646876,15169465.918185249,0.04806164692083928,7820945139.459999,0.0,7820945139.459999,7820945139.459999,0.0,613.6201271712082,2.1220343035523266,610.3749952938877,616.7660965665281,0.003458221478710151,0.0,0.0,0.0,0.0,,0,0
100,5,12129498.452220973,131198.0559148335,12008999.844614897,12349146.813340724,0.010816445249705315,7820945139.459994,9.5367431640625e-07,7820945139.459995,7820945139.459995,1.219384996826736e-16,569.6309969395173,6.112739719746662,558.7687484031146,575.787702960739,0.010731051773145877,654.6097527781833,19.578639044501788,624.2850843697273,684.3830486288985,0.029908871600842275,14136274.887498457,296361.7193821479,13706602.183132002,14473095.27080209,0.020964626235744615,7820945139.459999,0.0,7820945139.459999,7820945139.459999,0.0,613.5670776380755,3.280349846121155,610.3165720929246,619.8248662348647,0.005346358964938033,0.0,0.0,0.0,0.0,,0,0
200,5,12073539.49169071,110680.38064723405,11936253.063157601,12245617.85231937,0.009167185871500802,7820945139.459996,0.0,7820945139.459996,7820945139.459996,0.0,568.1338878066297,4.437170507569885,561.1744165458844,574.4039469634849,0.00781007893174667,646.8830259693217,15.668414197822656,624.9842234689957,672.9974686224497,0.024221402585644175,14082191.931133116,248850.96217860663,13760846.405931905,14391296.837240085,0.01767132300110491,7820945139.459999,0.0,7820945139.459999,7820945139.459999,0.0,612.2453742894538,1.5737208003177614,610.593287825645,615.2377233082518,0.002570408640725388,0.0,0.0,0.0,0.0,,0,0
