run_id,oos_mean_EV_hypervolume,oos_mean_CCP30_hypervolume,oos_mean_EV_minus_CCP30_hypervolume,oos_mean_EV_igd_plus,oos_mean_CCP30_igd_plus,oos_mean_EV_minus_CCP30_igd_plus,oos_mean_EV_spacing,oos_mean_CCP30_spacing,oos_mean_EV_minus_CCP30_spacing,oos_mean_EV_nondominated_size,oos_mean_CCP30_nondominated_size,oos_mean_EV_minus_CCP30_nondominated_size,oos_q90_EV_hypervolume,oos_q90_CCP30_hypervolume,oos_q90_EV_minus_CCP30_hypervolume,oos_q90_EV_igd_plus,oos_q90_CCP30_igd_plus,oos_q90_EV_minus_CCP30_igd_plus,oos_q90_EV_spacing,oos_q90_CCP30_spacing,oos_q90_EV_minus_CCP30_spacing,oos_q90_EV_nondominated_size,oos_q90_CCP30_nondominated_size,oos_q90_EV_minus_CCP30_nondominated_size
1,1.0857478508994236,1.000940984993048,0.08480686590637565,0.13915947430503903,0.1613711972747978,-0.022211722969758763,0.018302520758287776,0.009399473550491772,0.008903047207796003,90,127,-37,1.0465735954618067,0.8992755213555162,0.14729807410629048,0.13590283508143,0.19233318636560987,-0.056430351284179864,0.016870135217935137,0.012192343251241003,0.004677791966694133,89,130,-41
2,0.9807543171412504,1.0938493306071977,-0.1130950134659473,0.17727399072815905,0.12999610693645755,0.0472778837917015,0.008175550093338969,0.009747723881472487,-0.0015721737881335181,90,111,-21,0.9341736341875355,1.0642176492887654,-0.13004401510122987,0.1718545377533461,0.13066860076307982,0.04118593699026629,0.015197899223388127,0.011851117909466656,0.0033467813139214705,71,110,-39
3,0.9828375185756014,1.2783459341281171,-0.2955084155525157,0.17764605699505231,0.06129719872388758,0.11634885827116473,0.011465964392773796,0.01102943263637597,0.00043653175639782674,53,110,-57,0.9341585539683864,1.2415893516764864,-0.3074307977081,0.18225535639100224,0.07503087046148967,0.10722448592951257,0.011927125814623808,0.013633710344090657,-0.0017065845294668494,85,114,-29
4,1.1558128637208307,1.0609534119411528,0.09485945177967792,0.12125692931662112,0.11505163474236657,0.006205294574254547,0.009821936111782356,0.009396015826396204,0.000425920285386152,109,93,16,1.1119069877499959,0.8065501920627012,0.3053567956872947,0.11178259823839576,0.21994586207976677,-0.10816326384137101,0.010093609054824473,0.005270024985446369,0.004823584069378104,107,81,26
5,1.0625569441175313,1.140085592840764,-0.07752864872323273,0.13815671188612572,0.11419499348528252,0.0239617184008432,0.00822161050757196,0.00996757270963861,-0.00174596220206665,118,78,40,1.0426278911254843,0.9082898302191913,0.13433806090629297,0.13636797527217404,0.1934058027905085,-0.05703782751833447,0.011846522513939785,0.008141138074241359,0.003705384439698426,132,82,50
6,0.9413933642946467,1.262122510174342,-0.32072914587969537,0.19438852731658848,0.06748109129566256,0.1269074360209259,0.009174935204639132,0.00744958137395191,0.0017253538306872228,108,126,-18,0.8686146198856208,1.1633803757294428,-0.2947657558438219,0.22297170550371548,0.09779535671534967,0.1251763487883658,0.009717551874623762,0.008634727829260941,0.0010828240453628207,84,132,-48
7,1.0897395384774133,1.2862145308333797,-0.19647499235596633,0.14338931337766306,0.049574234726464536,0.09381507865119852,0.009312151195460819,0.01257786774949767,-0.0032657165540368512,117,84,33,0.9945102641115082,1.1994550560067534,-0.20494479189524517,0.16286018603024313,0.06969527149717267,0.09316491453307046,0.009139284407924282,0.013634408784951426,-0.0044951243770271435,152,95,57
8,0.9527099432877966,1.1553032184188061,-0.20259327513100955,0.21671321573394436,0.0944145749450917,0.12229864078885266,0.013142628174406604,0.011639896913927006,0.0015027312604795982,123,92,31,0.9015516896927274,1.0669247531428545,-0.16537306345012714,0.211680879450666,0.14248526818917062,0.06919561126149537,0.012729660317868324,0.01111324125856265,0.001616419059305674,127,119,8
9,1.3422737413289203,1.0524851185584467,0.28978862277047357,0.07197879996172062,0.15254376633135594,-0.08056496636963532,0.012034122330718825,0.012764974195227438,-0.0007308518645086134,117,71,46,1.2898490496512363,0.9670117135298169,0.3228373361214194,0.07249336232559184,0.16665327824404658,-0.09415991591845474,0.01435656750631631,0.015435095135195781,-0.0010785276288794703,127,94,33
10,0.9221045949908129,1.1879682868466785,-0.26586369185586567,0.19366771577104097,0.09448457753299677,0.0991831382380442,0.03403937218362459,0.017874985474299228,0.016164386709325365,125,92,33,0.9153593018614965,1.1191772020185458,-0.20381790015704926,0.19068874981281228,0.11367711243743792,0.07701163737537436,0.04251197319376172,0.012528861288271242,0.02998311190549048,163,99,64
11,0.9626013860699578,1.0790892839097208,-0.11648789783976299,0.17269544558979394,0.15055098094238778,0.02214446464740616,0.010038215294637439,0.008632214382563879,0.00140600091207356,60,142,-82,0.9225882474267157,0.9963067012995586,-0.07371845387284282,0.17845180275268385,0.17832381473481762,0.00012798801786623182,0.010520531055024391,0.007624486938345122,0.002896044116679269,72,157,-85
12,0.8701242334971273,1.183399538371443,-0.31327530487431576,0.22705103265486978,0.08251250332030462,0.14453852933456518,0.007371912541694557,0.014933603665978394,-0.007561691124283837,104,62,42,0.665623594121753,1.1003520098363213,-0.43472841571456833,0.3360699015827393,0.11904721088301537,0.21702269069972394,0.007515766761122696,0.020263715273795422,-0.012747948512672726,132,55,77
13,0.9903210497622186,1.106777844664369,-0.11645679490215044,0.20335169545616932,0.1727855958815897,0.03056609957457962,0.025142248418364394,0.011045573136857228,0.014096675281507166,97,168,-71,0.9647011372667982,1.0301465787063686,-0.06544544143957043,0.209016217035906,0.18255470266632795,0.026461514369578054,0.018888003389659628,0.016802358839497086,0.0020856445501625416,105,132,-27
14,1.1837130326867797,1.1907474565393956,-0.007034423852615879,0.10289529563619733,0.08205105029069498,0.020844245345502346,0.00924272368292893,0.01299159073965985,-0.00374886705673092,106,42,64,1.0747193355311673,1.1148046160029874,-0.04008528047182014,0.11909282751072023,0.11115105587519979,0.007941771635520442,0.012673001975314088,0.0176896823196327,-0.005016680344318613,78,56,22
15,0.9531393804195412,1.2035714165462208,-0.25043203612667964,0.18992983511775172,0.06824565955941121,0.1216841755583405,0.004908857900354353,0.006596215040522055,-0.0016873571401677025,220,67,153,0.8338026125658936,1.161457935126641,-0.32765532256074736,0.20884282186158026,0.08043307891810783,0.12840974294347243,0.004253467120875266,0.009700064674779293,-0.005446597553904027,193,81,112
16,0.827796173246722,0.8672025699756747,-0.03940639672895274,0.2540717172477374,0.2301034373932066,0.023968279854530816,0.006848153353132872,0.008265993676106448,-0.001417840322973576,163,137,26,0.8141095873653288,0.7198209533132784,0.09428863405205035,0.2539095101462475,0.2771877966252919,-0.023278286479044397,0.007390691072521103,0.00752469848091762,-0.00013400740839651648,179,125,54
17,0.9194050287648827,0.8808014123993295,0.038603616365553206,0.2206544463528871,0.21282807822683425,0.007826368126052863,0.012604071191925133,0.009363697625320324,0.0032403735666048095,109,79,30,0.8461588760366825,0.7595451770954658,0.08661369894121673,0.2299667043124041,0.23965282044491715,-0.00968611613251305,0.01421757375245585,0.011787791074975695,0.0024297826774801554,99,72,27
18,0.8265961841788745,0.949053049024608,-0.12245686484573348,0.22579837043849632,0.19216416509322867,0.03363420534526765,0.017415296960066707,0.019793208223523352,-0.0023779112634566453,81,53,28,0.6972582687260952,0.8806163712011355,-0.18335810247504025,0.28811455053304974,0.22114653709915616,0.06696801343389358,0.00683209581733606,0.02021510053320353,-0.01338300471586747,95,59,36
19,1.1619527966373888,1.0836838814586243,0.07826891517876455,0.12386602554774268,0.12112206375469252,0.0027439617930501564,0.011112886378083492,0.007869693551516389,0.0032431928265671036,121,130,-9,1.140404612811406,0.9580481566307022,0.18235645618070384,0.11239179362460965,0.1668309357011659,-0.05443914207655624,0.01216582991785791,0.006368166347640408,0.005797663570217502,128,160,-32
20,1.2572789767038988,1.0128616225244675,0.24441735417943122,0.11347939159067405,0.15899476464956364,-0.045515373058889586,0.011812036936267013,0.00998888603312397,0.0018231509031430438,98,113,-15,1.2474404876179688,0.9778082378070425,0.26963224981092626,0.1009491613470343,0.16194629933027269,-0.060997137983238386,0.012121024971816574,0.011143255033821377,0.000977769937995197,116,149,-33
21,0.8231229914093832,0.848058418811386,-0.02493542740200283,0.26911374373556013,0.231159049365911,0.03795469436964913,0.009694898302268717,0.02725862434517078,-0.017563726042902062,92,52,40,0.6644364770923163,0.7566275868217147,-0.09219110972939837,0.3502808324085593,0.2440400031848736,0.10624082922368569,0.016551131304205977,0.030156125708664324,-0.013604994404458347,87,53,34
22,0.9196256056678062,1.1362786339116457,-0.21665302824383958,0.20249425757366502,0.11594655512378,0.08654770244988501,0.008878655196283424,0.008368339736508868,0.000510315459774556,110,100,10,0.8944906938093795,1.0013009193717186,-0.1068102255623391,0.19066064046776798,0.16087121345173144,0.02978942701603654,0.009825587954097733,0.008758770751750088,0.001066817202347645,118,126,-8
23,1.1332700306991845,1.1688172432777473,-0.03554721257856275,0.11777632604702827,0.1206002313780361,-0.002823905331007834,0.014212149536263416,0.012633719211039247,0.0015784303252241692,116,107,9,1.0181083535957993,1.0945567949301107,-0.07644844133431139,0.1443377269853854,0.12430684729293677,0.02003087969244864,0.0123680427678962,0.011966668428010585,0.00040137433988561566,116,103,13
24,0.9666253152575504,0.9587473371295396,0.00787797812801072,0.18778645319172727,0.16786119961347834,0.019925253578248925,0.014571896056909703,0.010113943451237698,0.004457952605672005,120,59,61,0.9134073553325449,0.731458957733094,0.18194839759945092,0.18868521670607113,0.2648762677859169,-0.07619105107984575,0.016755407512067277,0.009565883449886887,0.00718952406218039,90,51,39
25,1.1420570738022318,1.1635934118009346,-0.021536337998702804,0.12771732870247562,0.11666478904666679,0.011052539655808838,0.020540632476182166,0.012435763620816909,0.008104868855365257,91,120,-29,1.0785950362596932,1.1391952388514526,-0.060600202591759356,0.13888608890306867,0.1235553624324088,0.015330726470659861,0.019293219944494382,0.010343293576651522,0.00894992636784286,90,138,-48
26,0.8649105220036855,1.1582414743873972,-0.29333095238371176,0.2540831967445216,0.09690660701044532,0.1571765897340763,0.01976978178947149,0.010690437819652052,0.009079343969819437,112,96,16,0.7052760831921007,1.0570318126929417,-0.351755729500841,0.3182390768539844,0.12641450839813856,0.19182456845584583,0.023215400351468577,0.01298696913893215,0.010228431212536427,119,89,30
27,1.0092615694612297,1.2606159181649872,-0.2513543487037575,0.18245845454352722,0.08727666220071349,0.09518179234281372,0.010095621420498828,0.01465585272570649,-0.004560231305207663,99,104,-5,0.7796866214388396,1.2368732601139167,-0.45718663867507714,0.2935767089702644,0.08885682035997622,0.20471988861028817,0.009693833944257555,0.017470805119312975,-0.00777697117505542,94,109,-15
28,0.9002224250854214,1.337493025577699,-0.4372706004922775,0.22009747014037961,0.04008644610023145,0.18001102404014815,0.020926766620703606,0.007781361686863653,0.013145404933839953,70,109,-39,0.8496559145465108,1.188396343077185,-0.3387404285306741,0.22605885597361988,0.10148618806699834,0.12457266790662154,0.022030444604304263,0.0095158332352446,0.012514611369059663,84,109,-25
29,0.9350211681064192,1.2632654182422944,-0.3282442501358752,0.20747148420447137,0.08684066100542685,0.12063082319904452,0.010194312721127754,0.007132846762442213,0.003061465958685541,160,127,33,0.9007831339604747,1.293767499894816,-0.3929843659343414,0.2139768209223748,0.07952718265321491,0.1344496382691599,0.013622056192257096,0.009213786937824198,0.004408269254432898,146,165,-19
30,0.9402002419273943,1.0084620650541418,-0.06826182312674756,0.19810957478126703,0.15857246201049222,0.03953711277077482,0.00861628876754207,0.009103214425104728,-0.000486925657562658,137,137,0,0.9047589284377598,0.9720806567705823,-0.06732172833282246,0.18900310874914633,0.1642383826676379,0.024764726081508426,0.0074909905138539875,0.006639363103427998,0.0008516274104259898,151,139,12
