scope,run_id,method,comparison,candidate_count,cost_signed_pct_delta_mean,cost_signed_pct_delta_median,cost_signed_pct_delta_sd,cost_absolute_percentage_error_mean,cost_absolute_percentage_error_median,cost_absolute_percentage_error_sd,makespan_signed_pct_delta_mean,makespan_signed_pct_delta_median,makespan_signed_pct_delta_sd,makespan_absolute_percentage_error_mean,makespan_absolute_percentage_error_median,makespan_absolute_percentage_error_sd,emission_signed_pct_delta_mean,emission_signed_pct_delta_median,emission_signed_pct_delta_sd,emission_absolute_percentage_error_mean,emission_absolute_percentage_error_median,emission_absolute_percentage_error_sd
run,1,EV,training direct-expected-input vs OOS mean,269,1.2207661293446392,1.1313592514674908,0.22858274066052287,1.2207661293446392,1.1313592514674908,0.22858274066052287,15.767815776125301,16.13858324462381,1.3766720486781878,15.767815776125301,16.13858324462381,1.3766720486781878,-1.9773921602129088e-15,0.0,1.6750893033767833e-14,1.3330410413956917e-14,1.898049266327522e-14,1.0303115359836285e-14
run,1,CCP30,training q90 vs OOS q90,276,0.9263902720931256,0.9259155789403575,0.23867060159389902,0.9263902720931256,0.9259155789403575,0.23867060159389902,3.6874666258227746,3.309457514589704,2.6813769697855236,3.7366494443081346,3.309457514589704,2.612147722276338,0.0,0.0,0.0,0.0,0.0,0.0
run,2,EV,training direct-expected-input vs OOS mean,261,1.2587670465381497,1.3276898898012177,0.17697981806391885,1.2587670465381497,1.3276898898012177,0.17697981806391885,15.680747407477044,16.304172861779143,2.3892286930509856,15.680747407477044,16.304172861779143,2.3892286930509856,1.7194201605090074e-15,0.0,1.6529965692917342e-14,1.1975115079725436e-14,1.886788752499512e-14,1.1500113462474272e-14
run,2,CCP30,training q90 vs OOS q90,265,1.2513822764133005,1.2981743537266466,0.37793864096013285,1.2513822764133005,1.2981743537266466,0.37793864096013285,4.470533754524395,3.6966615943420025,3.2395041228600836,4.471784268438733,3.6966615943420025,3.2377711640856988,0.0,0.0,0.0,0.0,0.0,0.0
run,3,EV,training direct-expected-input vs OOS mean,270,1.2669299884667158,1.283395066015635,0.14384278708529374,1.2669299884667158,1.283395066015635,0.14384278708529374,16.246754446663147,16.44548628303686,1.886850079602748,16.246754446663147,16.44548628303686,1.886850079602748,-2.3628389858282106e-15,0.0,1.6934401214660276e-14,1.0959560683783577e-14,0.0,1.3107983215060464e-14
run,3,CCP30,training q90 vs OOS q90,277,0.15850854945231832,0.18971850653485064,0.3132468364432397,0.2962181653501314,0.318568392646638,0.18782027147188088,4.834770061054085,5.17716303467439,3.658370048886761,5.46274629914754,5.17716303467439,2.625575391196343,0.0,0.0,0.0,0.0,0.0,0.0
run,4,EV,training direct-expected-input vs OOS mean,270,1.099306988989068,1.201707477637981,0.20537302009501499,1.099306988989068,1.201707477637981,0.20537302009501499,14.371715657090048,14.484181935393627,1.8030312847441758,14.371715657090048,14.484181935393627,1.8030312847441758,-1.5872549656465437e-15,0.0,1.7214832448878438e-14,1.2697679388971635e-14,1.837325842870224e-14,1.1706782924668188e-14
run,4,CCP30,training q90 vs OOS q90,199,1.5034163885227794,1.5347018500131848,0.2102559829208834,1.5034163885227794,1.5347018500131848,0.2102559829208834,5.750135472806229,7.338182264619668,2.5840503051563464,5.750135472806229,7.338182264619668,2.5840503051563464,0.0,0.0,0.0,0.0,0.0,0.0
run,5,EV,training direct-expected-input vs OOS mean,257,1.3572760048070767,1.4271163531554325,0.15780615775509693,1.3572760048070767,1.4271163531554325,0.15780615775509693,14.742316774257075,15.337634433334877,2.3523822442288584,14.742316774257075,15.337634433334877,2.3523822442288584,9.940394173092069e-16,0.0,1.8673375766211625e-14,1.3735045690370235e-14,1.945516898341939e-14,1.2660905841616225e-14
run,5,CCP30,training q90 vs OOS q90,257,1.0633792135000284,1.0750310397740366,0.19685691104654374,1.0633792135000284,1.0750310397740366,0.19685691104654374,8.257262943359969,8.655222916172235,1.5170927299146684,8.257262943359969,8.655222916172235,1.5170927299146684,0.0,0.0,0.0,0.0,0.0,0.0
run,6,EV,training direct-expected-input vs OOS mean,271,1.2377361485212122,1.1599964639180005,0.1718113071145316,1.2377361485212122,1.1599964639180005,0.1718113071145316,16.344646920027984,16.760010882617056,1.3355687196165773,16.344646920027984,16.760010882617056,1.3355687196165773,6.986849214981444e-16,0.0,1.6936228255389946e-14,1.1988628755202887e-14,1.8823050074869415e-14,1.1961030627646117e-14
run,6,CCP30,training q90 vs OOS q90,264,1.6689309298329804,1.6798660733687074,0.250296746161164,1.6689309298329804,1.6798660733687074,0.250296746161164,6.287891376773886,6.466866244526361,3.0699971200274483,6.287891376773886,6.466866244526361,3.0699971200274483,0.0,0.0,0.0,0.0,0.0,0.0
run,7,EV,training direct-expected-input vs OOS mean,276,1.440870362095654,1.4534019801306581,0.08142300040048908,1.440870362095654,1.4534019801306581,0.08142300040048908,13.162904354260476,13.802673002597778,2.7675689418051865,13.162904354260476,13.802673002597778,2.7675689418051865,-8.044269640086853e-16,0.0,1.652834929613192e-14,1.2496679804903653e-14,1.992264328418775e-14,1.0821316931298428e-14
run,7,CCP30,training q90 vs OOS q90,269,0.9789787063422432,1.0245986738997865,0.2536617973702081,0.9789787063422432,1.0245986738997865,0.2536617973702081,3.7755042904981972,4.376532739587972,2.650675654642241,3.9995509161605716,4.376532739587972,2.2973042106872117,0.0,0.0,0.0,0.0,0.0,0.0
run,8,EV,training direct-expected-input vs OOS mean,268,1.2038518422548967,1.2671815837921605,0.1794180615585729,1.2038518422548967,1.2671815837921605,0.1794180615585729,14.410836082500502,14.72309763233768,2.3420577701659844,14.410836082500502,14.72309763233768,2.3420577701659844,4.62265272146673e-16,0.0,1.6177831580807e-14,1.1635633468973104e-14,1.7982294353099553e-14,1.1226828889493624e-14
