run_id,method,oos_mean_hypervolume,oos_mean_igd_plus,oos_mean_spacing,oos_mean_nondominated_size,oos_mean_unique_objective_size,validated_candidate_count,optimisation_runtime_seconds,oos_q90_hypervolume,oos_q90_igd_plus,oos_q90_spacing,oos_q90_nondominated_size,oos_q90_unique_objective_size
1,EV,1.0857478508994236,0.13915947430503903,0.018302520758287776,90,90,269,953.9130539181642,1.0465735954618067,0.13590283508143,0.016870135217935137,89,89
1,CCP30,1.000940984993048,0.1613711972747978,0.009399473550491772,127,127,276,914.8936616349965,0.8992755213555162,0.19233318636560987,0.012192343251241003,130,130
2,EV,0.9807543171412504,0.17727399072815905,0.008175550093338969,90,90,261,957.7380527248606,0.9341736341875355,0.1718545377533461,0.015197899223388127,71,71
2,CCP30,1.0938493306071977,0.12999610693645755,0.009747723881472487,111,111,265,918.2015102850273,1.0642176492887654,0.13066860076307982,0.011851117909466656,110,110
3,EV,0.9828375185756014,0.17764605699505231,0.011465964392773796,53,53,270,945.2497359530535,0.9341585539683864,0.18225535639100224,0.011927125814623808,85,85
3,CCP30,1.2783459341281171,0.06129719872388758,0.01102943263637597,110,110,277,925.0442455927841,1.2415893516764864,0.07503087046148967,0.013633710344090657,114,114
4,EV,1.1558128637208307,0.12125692931662112,0.009821936111782356,109,109,270,962.458196260035,1.1119069877499959,0.11178259823839576,0.010093609054824473,107,107
4,CCP30,1.0609534119411528,0.11505163474236657,0.009396015826396204,93,93,199,943.2555205419194,0.8065501920627012,0.21994586207976677,0.005270024985446369,81,81
5,EV,1.0625569441175313,0.13815671188612572,0.00822161050757196,118,118,257,963.5216695119161,1.0426278911254843,0.13636797527217404,0.011846522513939785,132,132
5,CCP30,1.140085592840764,0.11419499348528252,0.00996757270963861,78,78,257,923.3667514969129,0.9082898302191913,0.1934058027905085,0.008141138074241359,82,82
6,EV,0.9413933642946467,0.19438852731658848,0.009174935204639132,108,108,271,988.8665839710739,0.8686146198856208,0.22297170550371548,0.009717551874623762,84,84
6,CCP30,1.262122510174342,0.06748109129566256,0.00744958137395191,126,126,264,927.494916605996,1.1633803757294428,0.09779535671534967,0.008634727829260941,132,132
7,EV,1.0897395384774133,0.14338931337766306,0.009312151195460819,117,117,276,964.3627985520288,0.9945102641115082,0.16286018603024313,0.009139284407924282,152,152
7,CCP30,1.2862145308333797,0.049574234726464536,0.01257786774949767,84,84,269,919.0135382560547,1.1994550560067534,0.06969527149717267,0.013634408784951426,95,95
8,EV,0.9527099432877966,0.21671321573394436,0.013142628174406604,123,123,268,963.7221617640462,0.9015516896927274,0.211680879450666,0.012729660317868324,127,127
8,CCP30,1.1553032184188061,0.0944145749450917,0.011639896913927006,92,92,277,912.8349842410535,1.0669247531428545,0.14248526818917062,0.01111324125856265,119,119
9,EV,1.3422737413289203,0.07197879996172062,0.012034122330718825,117,117,265,956.7204591841437,1.2898490496512363,0.07249336232559184,0.01435656750631631,127,127
9,CCP30,1.0524851185584467,0.15254376633135594,0.012764974195227438,71,71,199,951.4205237540882,0.9670117135298169,0.16665327824404658,0.015435095135195781,94,94
10,EV,0.9221045949908129,0.19366771577104097,0.03403937218362459,125,125,257,971.965850102948,0.9153593018614965,0.19068874981281228,0.04251197319376172,163,163
10,CCP30,1.1879682868466785,0.09448457753299677,0.017874985474299228,92,92,257,917.9367481919471,1.1191772020185458,0.11367711243743792,0.012528861288271242,99,99
11,EV,0.9626013860699578,0.17269544558979394,0.010038215294637439,60,60,236,965.2085830050055,0.9225882474267157,0.17845180275268385,0.010520531055024391,72,72
11,CCP30,1.0790892839097208,0.15055098094238778,0.008632214382563879,142,142,269,934.5846684670541,0.9963067012995586,0.17832381473481762,0.007624486938345122,157,157
12,EV,0.8701242334971273,0.22705103265486978,0.007371912541694557,104,104,232,989.6039602139499,0.665623594121753,0.3360699015827393,0.007515766761122696,132,132
12,CCP30,1.183399538371443,0.08251250332030462,0.014933603665978394,62,62,227,958.0298252280336,1.1003520098363213,0.11904721088301537,0.020263715273795422,55,55
13,EV,0.9903210497622186,0.20335169545616932,0.025142248418364394,97,97,282,967.5404214179143,0.9647011372667982,0.209016217035906,0.018888003389659628,105,105
13,CCP30,1.106777844664369,0.1727855958815897,0.011045573136857228,168,168,265,937.2618413390592,1.0301465787063686,0.18255470266632795,0.016802358839497086,132,132
14,EV,1.1837130326867797,0.10289529563619733,0.00924272368292893,106,106,277,985.0503524199594,1.0747193355311673,0.11909282751072023,0.012673001975314088,78,78
14,CCP30,1.1907474565393956,0.08205105029069498,0.01299159073965985,42,42,253,937.1610341300257,1.1148046160029874,0.11115105587519979,0.0176896823196327,56,56
15,EV,0.9531393804195412,0.18992983511775172,0.004908857900354353,220,220,268,991.1260012721177,0.8338026125658936,0.20884282186158026,0.004253467120875266,193,193
15,CCP30,1.2035714165462208,0.06824565955941121,0.006596215040522055,67,67,259,917.1659381480422,1.161457935126641,0.08043307891810783,0.009700064674779293,81,81
16,EV,0.827796173246722,0.2540717172477374,0.006848153353132872,163,163,268,955.6362569821067,0.8141095873653288,0.2539095101462475,0.007390691072521103,179,179
16,CCP30,0.8672025699756747,0.2301034373932066,0.008265993676106448,137,137,251,918.7036220920272,0.7198209533132784,0.2771877966252919,0.00752469848091762,125,125
17,EV,0.9194050287648827,0.2206544463528871,0.012604071191925133,109,109,272,970.065019069938,0.8461588760366825,0.2299667043124041,0.01421757375245585,99,99
17,CCP30,0.8808014123993295,0.21282807822683425,0.009363697625320324,79,79,254,926.438145491993,0.7595451770954658,0.23965282044491715,0.011787791074975695,72,72
18,EV,0.8265961841788745,0.22579837043849632,0.017415296960066707,81,81,226,980.5978822980542,0.6972582687260952,0.28811455053304974,0.00683209581733606,95,95
18,CCP30,0.949053049024608,0.19216416509322867,0.019793208223523352,53,53,264,917.9487905558199,0.8806163712011355,0.22114653709915616,0.02021510053320353,59,59
19,EV,1.1619527966373888,0.12386602554774268,0.011112886378083492,121,121,267,974.3690501339734,1.140404612811406,0.11239179362460965,0.01216582991785791,128,128
19,CCP30,1.0836838814586243,0.12112206375469252,0.007869693551516389,130,130,274,925.2669194629416,0.9580481566307022,0.1668309357011659,0.006368166347640408,160,160
20,EV,1.2572789767038988,0.11347939159067405,0.011812036936267013,98,98,272,986.2874540640041,1.2474404876179688,0.1009491613470343,0.012121024971816574,116,116
20,CCP30,1.0128616225244675,0.15899476464956364,0.00998888603312397,113,113,271,936.8028308078647,0.9778082378070425,0.16194629933027269,0.011143255033821377,149,149
21,EV,0.8231229914093832,0.26911374373556013,0.009694898302268717,92,92,265,978.8427237579599,0.6644364770923163,0.3502808324085593,0.016551131304205977,87,87
21,CCP30,0.848058418811386,0.231159049365911,0.02725862434517078,52,52,250,941.7080763739068,0.7566275868217147,0.2440400031848736,0.030156125708664324,53,53
22,EV,0.9196256056678062,0.20249425757366502,0.008878655196283424,110,110,268,963.9598030520137,0.8944906938093795,0.19066064046776798,0.009825587954097733,118,118
22,CCP30,1.1362786339116457,0.11594655512378,0.008368339736508868,100,100,251,947.1480814930983,1.0013009193717186,0.16087121345173144,0.008758770751750088,126,126
23,EV,1.1332700306991845,0.11777632604702827,0.014212149536263416,116,116,275,983.4108088749927,1.0181083535957993,0.1443377269853854,0.0123680427678962,116,116
23,CCP30,1.1688172432777473,0.1206002313780361,0.012633719211039247,107,107,270,926.0330307208933,1.0945567949301107,0.12430684729293677,0.011966668428010585,103,103
24,EV,0.9666253152575504,0.18778645319172727,0.014571896056909703,120,120,277,980.3764932900667,0.9134073553325449,0.18868521670607113,0.016755407512067277,90,90
24,CCP30,0.9587473371295396,0.16786119961347834,0.010113943451237698,59,59,233,942.5119577180594,0.731458957733094,0.2648762677859169,0.009565883449886887,51,51
25,EV,1.1420570738022318,0.12771732870247562,0.020540632476182166,91,91,259,989.5745312320068,1.0785950362596932,0.13888608890306867,0.019293219944494382,90,90
25,CCP30,1.1635934118009346,0.11666478904666679,0.012435763620816909,120,120,271,939.1569964899682,1.1391952388514526,0.1235553624324088,0.010343293576651522,138,138
26,EV,0.8649105220036855,0.2540831967445216,0.01976978178947149,112,112,283,966.9429023461416,0.7052760831921007,0.3182390768539844,0.023215400351468577,119,119
26,CCP30,1.1582414743873972,0.09690660701044532,0.010690437819652052,96,96,259,935.5361607160885,1.0570318126929417,0.12641450839813856,0.01298696913893215,89,89
27,EV,1.0092615694612297,0.18245845454352722,0.010095621420498828,99,99,265,972.9984125480987,0.7796866214388396,0.2935767089702644,0.009693833944257555,94,94
27,CCP30,1.2606159181649872,0.08727666220071349,0.01465585272570649,104,104,273,935.2312724140938,1.2368732601139167,0.08885682035997622,0.017470805119312975,109,109
28,EV,0.9002224250854214,0.22009747014037961,0.020926766620703606,70,70,275,979.7924269549549,0.8496559145465108,0.22605885597361988,0.022030444604304263,84,84
28,CCP30,1.337493025577699,0.04008644610023145,0.007781361686863653,109,109,267,940.9618034430314,1.188396343077185,0.10148618806699834,0.0095158332352446,109,109
29,EV,0.9350211681064192,0.20747148420447137,0.010194312721127754,160,160,265,973.985748434905,0.9007831339604747,0.2139768209223748,0.013622056192257096,146,146
29,CCP30,1.2632654182422944,0.08684066100542685,0.007132846762442213,127,127,266,932.5700255050324,1.293767499894816,0.07952718265321491,0.009213786937824198,165,165
30,EV,0.9402002419273943,0.19810957478126703,0.00861628876754207,137,137,239,965.1129914959893,0.9047589284377598,0.18900310874914633,0.0074909905138539875,151,151
30,CCP30,1.0084620650541418,0.15857246201049222,0.009103214425104728,137,137,262,942.3741647030693,0.9720806567705823,0.1642383826676379,0.006639363103427998,139,139
